PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,5819 Deercrest Ct,Trussville,AL,35173,667900,5,4.5,4100,,2020,71,http://www.redfin.com/AL/Trussville/5819-Deercrest-Ct-35173/home/171765276,33.673276,-86.5886096
Single Family Residential,2980 Smith Sims Rd,Trussville,AL,35173,399900,3,2.5,2477,101059,2020,18,http://www.redfin.com/AL/Trussville/2980-Smith-Sims-Rd-35173/home/165072195,33.588368,-86.595628
Single Family Residential,6261 Deer Ridge Trl,Trussville,AL,35173,374900,3,2.5,2273,77972,2020,18,http://www.redfin.com/AL/Trussville/6261-Deer-Ridge-Trl-35173/home/145308538,33.5901664,-86.5950687
Single Family Residential,7964 Eli Cir,Trussville,AL,35173,493229,4,3.5,3096,,2020,54,http://www.redfin.com/AL/Trussville/7964-Eli-CIR-35173/home/171223089,33.6370355,-86.5602614
Single Family Residential,3383 Smith Sims Rd,Trussville,AL,35173,299900,3,2.5,2005,,2020,0,http://www.redfin.com/AL/Trussville/3383-Smith-Sims-Rd-35173/home/165125335,33.602808,-86.586572
Single Family Residential,7658 Landyn Dr,Trussville,AL,35173,399000,3,2.5,2197,15681,2020,21,http://www.redfin.com/AL/Trussville/7658-Landyn-DR-35173/home/170583468,33.6370355,-86.5602614
Single Family Residential,5735 Deercrest Ct,Trussville,AL,35173,639366,5,4.5,3732,55321,2020,71,http://www.redfin.com/AL/Trussville/5735-Deercrest-Ct-35173/home/171305722,33.6731548,-86.5886123
Single Family Residential,5739 Deercrest Ct,Trussville,AL,35173,671938,4,3.5,3503,59241,2020,71,http://www.redfin.com/AL/Trussville/5739-Deercrest-Ct-35173/home/171305723,33.6731548,-86.5886123
Single Family Residential,8657 Highlands Dr,Trussville,AL,35173,349995,4,2.5,2532,8712,2020,108,http://www.redfin.com/AL/Trussville/8657-Highland-Dr-35173/home/170364833,33.64728,-86.52546
Single Family Residential,6237 Clubhouse Way,Trussville,AL,35173,505337,5,4,4030,,2020,58,http://www.redfin.com/AL/Trussville/6237-Clubhouse-Way-35173/home/165035131,33.659483,-86.601755
Single Family Residential,5811 Deerfoot Ct,Trussville,AL,35173,729900,4,3.5,3503,32670,2020,71,http://www.redfin.com/AL/Trussville/5811-Deerfoot-Ct-35173/home/165034156,33.670193,-86.5815701
Single Family Residential,7642 Barclay Terrace Dr,Trussville,AL,35173,459900,4,3,3061,45738,2020,30,http://www.redfin.com/AL/Trussville/7642-Barclay-Ter-35173/home/101751761,33.667547,-86.547681
Single Family Residential,6504 Winslow Dr,Trussville,AL,35173,449900,4,3.5,2481,,2020,42,http://www.redfin.com/AL/Trussville/6504-Winslow-Dr-35173/home/108601068,33.692756,-86.538006
Single Family Residential,5805 Deerfoot Ct,Trussville,AL,35173,759000,5,4,3300,60983,2020,153,http://www.redfin.com/AL/Trussville/5805-Deerfoot-Ct-35173/home/104241838,33.6710066,-86.5896937
Single Family Residential,5800 Deerfoot Ct,Trussville,AL,35173,973054,5,4.5,4783,,2020,71,http://www.redfin.com/AL/Trussville/5800-Deerfoot-Ct-35173/home/165125558,33.6696986,-86.5816273
Single Family Residential,6021 Enclave Pl,Trussville,AL,35173,395094,4,4,2805,12196,2020,100,http://www.redfin.com/AL/Trussville/6021-Enclave-Pl-35173/home/170331339,33.6393568,-86.5295314
Single Family Residential,6517 Winslow Dr,Trussville,AL,35173,439900,4,3.5,2792,,2020,42,http://www.redfin.com/AL/Trussville/6517-Winslow-Dr-35173/home/113200805,33.693726,-86.537282
Single Family Residential,6242 Clubhouse Way,Trussville,AL,35173,379460,4,3.5,2260,,2020,0,http://www.redfin.com/AL/Trussville/6242-Clubhouse-Dr-35173/home/148699173,33.660318,-86.598036
Single Family Residential,1022 Canvasback Way,Alabaster,AL,35007,308590,5,2.5,3216,7840,2020,35,http://www.redfin.com/AL/Alabaster/1022-Canvasback-Way-35007/home/172689242,33.1830321,-86.79933
Single Family Residential,325 Shelby Farms Ln,Alabaster,AL,35007,236400,3,2,1588,7405,2020,0,http://www.redfin.com/AL/Alabaster/325-Shelby-Farms-Ln-35007/home/172659794,33.1752382,-86.8188966
Single Family Residential,1018 Canvasback Way,Alabaster,AL,35007,261715,3,2.5,2174,7840,2020,35,http://www.redfin.com/AL/Alabaster/1018-Canvasback-Way-35007/home/172601880,33.1830321,-86.79933
Single Family Residential,1026 Canvasback Dr,Alabaster,AL,35007,244790,4,2,1774,8276,2020,35,http://www.redfin.com/AL/Alabaster/1026-Canvasback-Way-35007/home/172600760,33.1830321,-86.79933
Single Family Residential,1001 Canvasback Way,Alabaster,AL,35007,279570,5,3,2511,7840,2020,35,http://www.redfin.com/AL/Alabaster/1001-Canvasback-Way-35007/home/172596840,33.1830321,-86.79933
Single Family Residential,329 Shelby Farms Ln,Alabaster,AL,35007,243400,3,2.5,1800,7840,2020,12,http://www.redfin.com/AL/Alabaster/329-Shelby-Farms-Ln-35007/home/172524836,33.1750775,-86.8188508
Single Family Residential,333 Shelby Farms Ln,Alabaster,AL,35007,239400,3,2.5,1698,7840,2020,12,http://www.redfin.com/AL/Alabaster/333-Shelby-Farms-Ln-35007/home/172524793,33.1749421,-86.8187972
Single Family Residential,337 Shelby Farms Ln,Alabaster,AL,35007,251400,3,2.5,1987,7840,2020,0,http://www.redfin.com/AL/Alabaster/337-Shelby-Farms-Ln-35007/home/172524792,33.1746576,-86.8187251
Single Family Residential,317 Timber Ridge Trl,Alabaster,AL,35007,355100,4,3.5,2470,15245,2020,17,http://www.redfin.com/AL/Alabaster/317-Timber-Ridge-Trl-35007/home/144769387,33.1783802,-86.8030822
Single Family Residential,1013 Canvasback Way,Alabaster,AL,35007,308920,5,2.5,3216,7840,2020,35,http://www.redfin.com/AL/Alabaster/1013-Canvasback-Way-35007/home/172385087,33.1830321,-86.79933
Single Family Residential,300 Timber Ridge Trl,Alabaster,AL,35007,355000,4,3.5,2548,15245,2020,0,http://www.redfin.com/AL/Alabaster/300-Timber-Ridge-Trl-35007/home/166754110,33.1779472,-86.8044827
Single Family Residential,1384 N Wynlake Dr,Alabaster,AL,35007,363556,4,3.5,3467,10367,2020,29,http://www.redfin.com/AL/Alabaster/1384-N-Wynlake-Dr-35007/home/108468693,33.1897254,-86.8314967
Single Family Residential,603 N Wynlake Dr,Alabaster,AL,35007,358400,5,4,3607,10367,2020,29,http://www.redfin.com/AL/Alabaster/603-N-Wynlake-Dr-35007/home/171353844,33.1889873,-86.8317873
Single Family Residential,602 N Wynlake Dr,Alabaster,AL,35007,335200,4,3.5,3144,10367,2020,29,http://www.redfin.com/AL/Alabaster/602-N-Wynlake-Dr-35007/home/171353672,33.1889873,-86.8317873
Single Family Residential,601 N Wynlake Dr,Alabaster,AL,35007,312900,4,3.5,2715,10367,2020,25,http://www.redfin.com/AL/Alabaster/601-Wynlake-Cv-35007/home/80729098,33.1843651,-86.8345645
Single Family Residential,600 N Wynlake Dr,Alabaster,AL,35007,403800,6,5.5,4770,10367,2020,25,http://www.redfin.com/AL/Alabaster/600-Wynlake-Cv-35007/home/80719700,33.1848018,-86.834486
Single Family Residential,250 Grande View Cir,Alabaster,AL,35114,429900,4,3.5,2482,20037,2020,25,http://www.redfin.com/AL/Maylene/250-Grande-View-Cir-35114/home/171247975,33.1945234,-86.8562613
Single Family Residential,1035 Flyway View Ln,Alabaster,AL,35007,278890,5,2.5,2632,7840,2020,35,http://www.redfin.com/AL/Alabaster/1035-Flyway-View-LN-35007/home/171243493,33.2288218,-86.7919009
Single Family Residential,5810 Hatchers Run,Pinson,AL,35126,324900,4,3,2288,13939,2020,15,http://www.redfin.com/AL/Pinson/5810-Hatchers-Run-35126/home/165238720,33.67346,-86.647571
Single Family Residential,1077 Camellia Ridge Dr,Pelham,AL,35124,405900,4,3,2325,9016,2020,30,http://www.redfin.com/AL/Pelham/1077-Camellia-Ridge-Dr-35124/home/172663865,33.3155026,-86.8196295
Single Family Residential,1038 Camellia Ridge Dr,Pelham,AL,35124,335900,4,3.5,2519,8712,2020,30,http://www.redfin.com/AL/Pelham/1038-Camellia-Ridge-Dr-35124/home/172663498,33.3155026,-86.8196295
Single Family Residential,208 Kinross Cir,Pelham,AL,35124,364900,4,3,2138,18730,2020,71,http://www.redfin.com/AL/Pelham/208-Kinross-CIR-35124/home/172643046,33.2956275,-86.7718017
Single Family Residential,3021 Simms Lndg,Pelham,AL,35124,336090,4,3,2358,8712,2020,46,http://www.redfin.com/AL/Indian-Springs-Village/3021-Simms-LNDG-35124/home/172587310,33.2956275,-86.7718017
Single Family Residential,3009 Simms Lndg,Pelham,AL,35124,366280,4,3.5,2752,8712,2020,46,http://www.redfin.com/AL/Indian-Springs-Village/3009-Simms-LNDG-35124/home/172587104,33.2956275,-86.7718017
Single Family Residential,3004 Simms Lndg,Pelham,AL,35124,296459,3,2,1760,8712,2020,46,http://www.redfin.com/AL/Indian-Springs-Village/3004-Simms-LNDG-35124/home/172523044,33.268591,-86.788698
Single Family Residential,3013 Simms Lndg,Pelham,AL,35124,343404,4,2.5,2351,8712,2020,46,http://www.redfin.com/AL/Indian-Springs-Village/3013-Simms-LNDG-35124/home/172513067,33.26976,-86.784892
Single Family Residential,3005 Simms Lndg,Pelham,AL,35124,311527,3,2,2015,9583,2020,46,http://www.redfin.com/AL/Indian-Springs-Village/3005-Simms-LNDG-35124/home/172513069,33.26976,-86.784892
Single Family Residential,220 Kinross Cir,Pelham,AL,35124,429900,4,4,3378,9583,2020,0,http://www.redfin.com/AL/Pelham/220-Kinross-CIR-35124/home/172577905,33.2956275,-86.7718017
Single Family Residential,1085 Camellia Ridge Dr,Pelham,AL,35124,423950,4,3,2539,8929,2020,30,http://www.redfin.com/AL/Pelham/1085-Camellia-Ridge-Dr-35124/home/172510841,33.3155026,-86.8196295
Single Family Residential,1089 Camellia Ridge Dr,Pelham,AL,35124,419050,3,2,2378,8929,2020,30,http://www.redfin.com/AL/Pelham/1089-Camellia-Ridge-Dr-35124/home/172509620,33.3155026,-86.8196295
Single Family Residential,224 Kinross Cir,Pelham,AL,35124,399900,4,3,2935,14810,2020,0,http://www.redfin.com/AL/Pelham/224-Kinross-CIR-35124/home/172271208,33.2956275,-86.7718017
Single Family Residential,228 Kinross Cir,Pelham,AL,35124,399900,4,3,2935,14810,2020,0,http://www.redfin.com/AL/Pelham/228-Kinross-CIR-35124/home/172271179,33.2956275,-86.7718017
Single Family Residential,232 Kinross Cir,Pelham,AL,35124,399900,4,3,2935,14810,2020,0,http://www.redfin.com/AL/Pelham/232-Kinross-CIR-35124/home/172271092,33.2956275,-86.7718017
Single Family Residential,1081 Camellia Ridge Dr,Pelham,AL,35124,396900,3,3,2032,8929,2020,30,http://www.redfin.com/AL/Pelham/1081-Camellia-Ridge-Dr-35124/home/172101409,33.3155026,-86.8196295
Single Family Residential,245 Kinross Cir,Pelham,AL,35124,349900,4,2,2132,,2020,0,http://www.redfin.com/AL/Pelham/245-Kinross-CIR-35124/home/172052305,33.2956275,-86.7718017
Single Family Residential,101 Wild Timber Pkwy,Pelham,AL,35124,318500,4,3,2200,23958,2020,0,http://www.redfin.com/AL/Pelham/101-Wild-Timber-Pkwy-35124/home/171953175,33.3161467,-86.7242986
Single Family Residential,205 Pride Cir,Pelham,AL,35124,448900,5,3.5,2700,10890,2020,8,http://www.redfin.com/AL/Pelham/205-Pride-Cir-35124/unit-43/home/101764682,33.3096662,-86.8195299
Single Family Residential,1102 Camellia Ridge Dr,Pelham,AL,35124,299900,3,2.5,1770,7840,2020,0,http://www.redfin.com/AL/Pelham/1102-Camellia-Ridge-Dr-35124/home/171741997,33.3155026,-86.8196295
Single Family Residential,4015 Camellia Ridge Cv,Pelham,AL,35124,329900,4,3.5,2350,10454,2020,30,http://www.redfin.com/AL/Pelham/4015-Camellia-Ridge-Dr-35124/home/171277521,33.3155026,-86.8196295
Single Family Residential,345 Timberview Trl,Chelsea,AL,35043,540900,5,4,2655,43560,2020,98,http://www.redfin.com/AL/Chelsea/345-Timberview-Trl-35043/home/171530126,33.328427,-86.679631
Single Family Residential,108 Lakeland Rdg,Chelsea,AL,35043,349000,4,3,2288,20908,2020,17,http://www.redfin.com/AL/Chelsea/108-Lakeland-Rdg-35043/home/171170165,33.3131647,-86.712481
Single Family Residential,1954 Cyrus Cove Dr,Hoover,AL,35244,374623,3,2,2254,,2020,71,http://www.redfin.com/AL/Hoover/Cyrus-Cove-Dr-35244/home/171311441,33.3483,-86.8027
Single Family Residential,4007 Camellia Ridge Cv,Pelham,AL,35124,330900,5,3.5,2400,11761,2020,30,http://www.redfin.com/AL/Pelham/4007-Camellia-Ridge-Dr-35124/home/170984454,33.3155026,-86.8196295
Single Family Residential,1026 Camellia Ridge Dr,Pelham,AL,35124,348900,5,4,2708,8276,2020,30,http://www.redfin.com/AL/Pelham/1026-Camellia-Ridge-Dr-35124/home/170474400,33.3155026,-86.8196295
Single Family Residential,344 Timberview Trl,Chelsea,AL,35043,575500,4,3,3664,43995,2020,98,http://www.redfin.com/AL/Chelsea/344-Timberview-Trl-35043/home/170462454,33.328427,-86.679631
Single Family Residential,605 Dexter Ave,Mountain Brook,AL,35213,1850000,4,4.5,4492,11761,2020,0,http://www.redfin.com/AL/Birmingham/605-Dexter-Ave-35213/home/80934442,33.507061,-86.75005
Single Family Residential,3609 Montrose Rd,Mountain Brook,AL,35213,1649000,5,4.5,4526,15245,2020,0,http://www.redfin.com/AL/Birmingham/3609-Montrose-Rd-35213/home/80944727,33.50051,-86.7517249
Single Family Residential,5115 Janet Ln,Irondale,AL,35210,410000,3,2,2364,17859,2020,13,http://www.redfin.com/AL/Irondale/5115-Janet-Ln-35210/home/148753290,33.523628,-86.69302
Single Family Residential,5111 Janet Ln,Irondale,AL,35210,425000,4,3,2480,17859,2020,13,http://www.redfin.com/AL/Irondale/5111-Janet-Ln-35210/home/143816550,33.523549,-86.693343
Single Family Residential,5127 Janet Ln,Irondale,AL,35210,399000,3,3,2600,24829,2020,21,http://www.redfin.com/AL/Irondale/5127-Janet-Ln-35210/home/148753320,33.5239959,-86.692085
Single Family Residential,5096 Janet Ln,Irondale,AL,35210,390000,3,3.5,2670,16552,2020,21,http://www.redfin.com/AL/Irondale/5096-Janet-Ln-35210/home/143019521,33.523461,-86.694705
Single Family Residential,5108 Janet Ln,Irondale,AL,35210,415000,3,2.5,1960,16117,2020,21,http://www.redfin.com/AL/Irondale/5108-Janet-Ln-35210/home/143019900,33.524042,-86.693817
Townhouse,539 Town Madison Blvd,Madison,AL,35758,404000,3,2.5,2088,3504,2020,117,http://www.redfin.com/AL/Madison/539-Town-Madison-Blvd-35758/home/172686453,34.67916826,-86.72341385
Single Family Residential,12877 Tallulah Dr,Athens,AL,35756,262908,4,3,2058,7840,2020,13,http://www.redfin.com/AL/Madison/12877-Tallulah-DR-35756/home/172658318,34.74221241,-86.89132019
Single Family Residential,12917 Tallulah Dr,Athens,AL,35756,309987,5,3.5,3596,7840,2020,13,http://www.redfin.com/AL/Madison/12917-Tallulah-DR-35756/home/172652211,34.7423182,-86.89127727
Single Family Residential,12918 Tallulah Dr,Athens,AL,35756,259263,4,3,1974,7405,2020,13,http://www.redfin.com/AL/Madison/12918-Tallulah-DR-35756/home/172614334,34.74312507,-86.8900731
Single Family Residential,177 Bowdock Dr,Madison,AL,35756,443750,6,3,3158,,2020,4,http://www.redfin.com/AL/Madison/177-Bowdock-Dr-35756/home/168666289,34.7177747,-86.8180041
Single Family Residential,143 Oak Manor Ln,Madison,AL,35756,733900,4,4.5,3418,,2020,108,http://www.redfin.com/AL/Unknown/143-Oak-Manor-Ln-35756/home/169426667,34.64009953,-86.78946193
Single Family Residential,113 Mincie Dr,Madison,AL,35756,665900,4,4.5,4503,13939,2020,42,http://www.redfin.com/AL/Madison/113-Mincie-DR-Unknown/home/172277793,34.72227966,-86.80326005
Single Family Residential,110 Parker Hall Dr,Madison,AL,35756,618900,4,3.5,3881,13939,2020,42,http://www.redfin.com/AL/Madison/110-Parker-Hall-DR-Unknown/home/171552886,34.72241439,-86.8041474
