PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,770 Orange Ave,Milford,CT,6461,499900,5,3,2848,44431,1967,0,http://www.redfin.com/CT/Milford/770-Orange-Ave-06461/home/53927376,41.2548192,-73.0445531
Single Family Residential,15 Rock Rd,Milford,CT,6460,699900,4,3,3636,7405,1925,0,http://www.redfin.com/CT/Milford/15-Rock-Rd-06460/home/53925540,41.2126907,-73.0088648
Single Family Residential,150 Hillside Ave,Milford,CT,6460,585000,3,3,2253,5227,2004,0,http://www.redfin.com/CT/Milford/150-Hillside-Ave-06460/home/53916301,41.2198861,-73.0057282
Condo/Co-op,125 Warner Hill Rd #97,Stratford,CT,6614,194900,1,1,748,0,1980,295,http://www.redfin.com/CT/Stratford/125-Warner-Hill-Rd-06614/unit-97/home/107212269,41.2549877,-73.1012411
Single Family Residential,91 Pocconock Trl,New Canaan,CT,6840,1195000,5,3,3438,87555,1963,0,http://www.redfin.com/CT/New-Canaan/91-Pocconock-Trl-06840/home/107235500,41.1395118,-73.459201
Single Family Residential,357 Jelliff Mill Rd,New Canaan,CT,6840,849000,4,3,2357,43560,1949,0,http://www.redfin.com/CT/New-Canaan/357-Jelliff-Mill-Rd-06840/home/107235722,41.1212893,-73.5149044
Single Family Residential,183 Brookwood Ln,New Canaan,CT,6840,1375000,4,3,3783,138085,1966,0,http://www.redfin.com/CT/New-Canaan/183-Brookwood-Ln-06840/home/107240129,41.1636482,-73.5000583
Condo/Co-op,685 Success Ave #4,Stratford,CT,6614,124000,1,1,841,0,1985,170,http://www.redfin.com/CT/Stratford/685-Success-Ave-06614/unit-4/home/107225408,41.2012757,-73.156317
Single Family Residential,40 Lakeview Ter,Newtown,CT,6482,359900,3,3,2092,23086,1999,0,http://www.redfin.com/CT/Sandy-Hook/40-Lakeview-Ter-06482/home/107651451,41.4236273,-73.2327428
Single Family Residential,3 Chimmney Swift Dr,Newtown,CT,6482,449000,4,3,2990,74052,1975,0,http://www.redfin.com/CT/Sandy-Hook/3-Chimney-Swift-Dr-06482/home/107646501,41.4224515,-73.265982
Single Family Residential,16 Split Rock Rd,Newtown,CT,6470,539000,4,3,3249,87120,1994,0,http://www.redfin.com/CT/Newtown/16-Split-Rock-Rd-06470/home/107643782,41.3349683,-73.3232819
Single Family Residential,13 Palestine Rd,Newtown,CT,6470,799000,4,3,6114,378536,1979,0,http://www.redfin.com/CT/Newtown/13-Palestine-Rd-06470/home/107636240,41.371756,-73.312522
Single Family Residential,11 Susan Ln,Newtown,CT,6470,650000,4,3,3150,51400,1994,0,http://www.redfin.com/CT/Newtown/11-Susan-Ln-06470/home/107635881,41.4219108,-73.3398519
Single Family Residential,11 Boulevard,Newtown,CT,6470,435000,4,3,3167,72745,1760,0,http://www.redfin.com/CT/Newtown/11-Boulevard-06470/home/107649790,41.416386,-73.303026
Condo/Co-op,1160 Success Ave,Stratford,CT,6614,89900,2,1,950,0,1940,461,http://www.redfin.com/CT/Stratford/1160-Success-CT-06614/home/169526028,41.208211,-73.154449
Single Family Residential,66 Waterview Dr,Newtown,CT,6482,379900,4,3,1994,4791,1955,0,http://www.redfin.com/CT/Sandy-Hook/66-Waterview-Dr-06482/home/107646459,41.437565,-73.2441227
Single Family Residential,7 Papa Ln,North Haven,CT,6473,399900,4,3,3300,22215,1992,0,http://www.redfin.com/CT/North-Haven/7-Papa-Ln-06473/home/53988081,41.350586,-72.8567516
Single Family Residential,7 Livingston Dr,North Haven,CT,6473,449900,5,3,3680,42688,1961,0,http://www.redfin.com/CT/North-Haven/7-Livingston-Dr-06473/home/53991285,41.3589937,-72.8421089
