,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
37,Single Family Residential,820 Martin Luther King Jr Way,Seattle,WA,98122,820000,3,2.75,1710,3600.0,1994,,http://www.redfin.com/WA/Seattle/820-Martin-Luther-King-Jr-Way-98122/home/146831,47.60963472,-122.29607179999999
38,Condo/Co-op,1740 Melrose Ave #706,Seattle,WA,98122,670000,2,1.75,1205,,1963,665.0,http://www.redfin.com/WA/Seattle/1740-Melrose-Ave-98122/unit-706/home/58556,47.6181312,-122.32753419999999
39,Single Family Residential,12035 8th Ave NE,Seattle,WA,98125,868000,6,2.75,2460,12240.0,1963,,http://www.redfin.com/WA/Seattle/12035-8th-Ave-NE-98125/home/106339,47.716716,-122.3219881
40,Single Family Residential,10225 28th Ave SW,Seattle,WA,98146,549950,5,1.75,2000,9879.0,1966,,http://www.redfin.com/WA/Seattle/10225-28th-Ave-SW-98146/home/180019,47.511554600000004,-122.3686449
41,Single Family Residential,3010 NW 70th St,Seattle,WA,98117,1725000,4,3.5,3642,3500.0,2014,,http://www.redfin.com/WA/Seattle/3010-NW-70th-St-98117/home/59703250,47.6797378,-122.396231
42,Single Family Residential,6710 8th Ave NW,Seattle,WA,98117,789000,3,2.0,1840,2665.0,1927,,http://www.redfin.com/WA/Seattle/6710-8th-Ave-NW-98117/home/495851,47.678166,-122.36575590000001
43,Townhouse,2011 E Denny Way Unit A,Seattle,WA,98122,1130000,3,2.25,1971,1652.0,2015,,http://www.redfin.com/WA/Seattle/2011-E-Denny-Way-98112/unit-A/home/59703130,47.6183583,-122.3055591
44,Townhouse,4024 Martin Luther King Jr Way S Unit B,Seattle,WA,98108,699950,3,2.0,1710,1452.0,2018,,http://www.redfin.com/WA/Seattle/4024-Martin-Luther-King-Jr-Way-S-98108/unit-B/home/167221137,47.567375299999995,-122.2967658
45,Single Family Residential,5239 Pullman Ave NE,Seattle,WA,98105,1285000,4,2.5,2820,6960.0,1951,,http://www.redfin.com/WA/Seattle/5239-Pullman-Ave-NE-98105/home/320381,47.671513399999995,-122.2715051
46,Single Family Residential,7508 32nd Ave SW,Seattle,WA,98126,599950,4,2.0,1230,6428.0,1919,,http://www.redfin.com/WA/Seattle/7508-32nd-Ave-SW-98126/home/473676,47.535233500000004,-122.373531
47,Condo/Co-op,310 N 137th St Unit C,Seattle,WA,98133,499000,3,1.75,1600,,1968,350.0,http://www.redfin.com/WA/Seattle/310-N-137th-St-98133/unit-C/home/142413327,47.7289968,-122.3549118
48,Condo/Co-op,110 19th Ave E #301,Seattle,WA,98112,695000,2,1.75,1244,,1999,576.0,http://www.redfin.com/WA/Seattle/110-19th-Ave-E-98112/unit-301/home/38685,47.618886700000004,-122.30701189999999
49,Single Family Residential,3610 S Findlay St,Seattle,WA,98118,1350000,6,5.5,3420,4000.0,2020,,http://www.redfin.com/WA/Seattle/3610-S-Findlay-St-98118/home/173260,47.5521385,-122.28775559999998
50,Townhouse,2820 SW Dakota St Unit B,Seattle,WA,98126,575000,3,2.5,1390,1413.0,2004,,http://www.redfin.com/WA/Seattle/2820-SW-Dakota-St-98126/unit-B/home/146999483,47.567171,-122.3690831
51,Condo/Co-op,4540 8th Ave NE #501,Seattle,WA,98105,734950,3,1.75,1450,,1974,809.0,http://www.redfin.com/WA/Seattle/4540-8th-Ave-NE-98105/unit-501/home/31418,47.6626943,-122.3190446
52,Townhouse,8341 Wabash Ave S Unit B,Seattle,WA,98118,489900,3,2.5,1320,1780.0,2005,,http://www.redfin.com/WA/Seattle/8341-Wabash-Ave-S-98118/unit-B/home/11761414,47.528053899999996,-122.2687883
53,Single Family Residential,3429 36th Ave SW,Seattle,WA,98126,689000,2,1.0,1400,3750.0,1913,,http://www.redfin.com/WA/Seattle/3429-36th-Ave-SW-98126/home/328294,47.572244899999994,-122.3774505
54,Condo/Co-op,2504 Western Ave #422,Seattle,WA,98121,539000,2,1.0,764,,1998,491.0,http://www.redfin.com/WA/Seattle/2504-Western-Ave-98121/unit-422/home/12442136,47.6143886,-122.34956650000001
55,Townhouse,7170 Shinkle Pl SW,Seattle,WA,98106,572000,3,2.5,1838,2309.0,2014,190.0,http://www.redfin.com/WA/Seattle/7170-Shinkle-Pl-SW-98106/home/12090399,47.538359,-122.36617720000001
