,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
28,Single Family Residential,18876 S 1300 Rd,Nevada,MO,64772,245000,3.0,2.0,1464.0,,,,http://www.redfin.com/MO/Nevada/18876-1300-Rd-64772/home/171244070,37.8109946,-94.40252480000001
29,Single Family Residential,503 W Cherry St,Nevada,MO,64772,169900,4.0,3.5,3058.0,12632.0,1918.0,,http://www.redfin.com/MO/Nevada/503-W-Cherry-St-64772/home/79943342,37.83818370000001,-94.36195179999999
30,Ranch,S BB Hwy,Nevada,MO,64772,142708,,,,1553785.0,,,http://www.redfin.com/MO/Nevada/State-Highway-BB-64772/home/112469050,37.76892470000001,-94.3677964
31,Ranch,E 54 Hwy,Deerfield,MO,64741,175000,,,,2178000.0,,,http://www.redfin.com/MO/Deerfield/7490-E-54-Hwy-64741/home/171169577,37.8402874,-94.501047
32,Single Family Residential,12617 E Osage Nation Rd,Nevada,MO,64772,224900,5.0,4.0,2780.0,66211.0,1997.0,50.0,http://www.redfin.com/MO/Nevada/E-Osage-Nation-Rd-64772/home/79941998,37.834552,-94.409775
33,Single Family Residential,Bluff,Other,MO,64772,59900,2.0,1.0,1056.0,43560.0,1965.0,,http://www.redfin.com/MO/Nevada/Bluff-64772/home/171169414,37.835289200000005,-94.3359635
34,Single Family Residential,107 Country Club Dr,Nevada,MO,64772,327500,3.0,3.0,3000.0,14374.0,2004.0,,http://www.redfin.com/MO/Nevada/107-Country-Club-Dr-64772/home/79948758,37.822663,-94.36768990000002
35,Single Family Residential,707 W Burton St,Nevada,MO,64772,82000,2.0,1.0,1144.0,,1955.0,,http://www.redfin.com/MO/Nevada/707-W-Burton-St-64772/home/171169404,37.8276807,-94.36602380000001
36,Single Family Residential,10751 S 1513 Pass Rd,Nevada,MO,64772,215000,3.0,2.0,3134.0,2265120.0,1980.0,,http://www.redfin.com/MO/Nevada/10751-S-1513-Pass-64772/home/79934095,37.9278251,-94.353109
37,Single Family Residential,226 W Arch St,Nevada,MO,64772,99900,5.0,1.0,3413.0,10018.0,1884.0,,http://www.redfin.com/MO/Nevada/226-W-Arch-St-64772/home/79936015,37.836265000000004,-94.3584135
38,Single Family Residential,515 N Tower St,Nevada,MO,64772,37500,3.0,1.0,1305.0,16117.0,1955.0,,http://www.redfin.com/MO/Nevada/515-N-Tower-St-64772/home/79948404,37.84366179999999,-94.372904
39,Single Family Residential,13711 E Neosho Rd,Nevada,MO,64772,134900,3.0,2.0,1380.0,26136.0,1993.0,,http://www.redfin.com/MO/Nevada/13711-E-Neosho-Rd-64772/home/79948038,37.8487727,-94.3884934
40,Single Family Residential,19755 S 1425 Rd,Nevada,MO,64772,775000,6.0,5.5,7500.0,1197900.0,1990.0,,http://www.redfin.com/MO/Nevada/19755-S-1425-Rd-64772/home/79949557,37.7971594,-94.3779202
41,Single Family Residential,704 W Burton St,Nevada,MO,64772,94500,2.0,1.0,1964.0,,1955.0,,http://www.redfin.com/MO/Nevada/704-W-Burton-St-64772/home/79948640,37.8273113,-94.365402
42,Single Family Residential,318 E Hickory St,Nevada,MO,64772,60000,3.0,1.5,1891.0,,1905.0,,http://www.redfin.com/MO/Nevada/318-E-Hickory-St-64772/home/79943806,37.842443700000004,-94.3535224
