,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
2283,Single Family Residential,102 40 Acre Mountain Rd,Danbury,CT,6811,1799000,3,4.0,2161.0,13068,2010,0,http://www.redfin.com/CT/Danbury/102-Forty-Acre-Mountain-Rd-06811/home/106993426,41.4593226,-73.434791
2284,Single Family Residential,833 Hollow Tree Ridge Rd,Darien,CT,6820,2200000,5,4.0,5486.0,104979,1966,0,http://www.redfin.com/CT/Darien/833-Hollow-Tree-Ridge-Rd-06820/home/107156529,41.111772200000004,-73.49518420000001
2285,Single Family Residential,5 Hummingbird Ln,Darien,CT,6820,1995000,5,4.0,3661.0,117176,1967,0,http://www.redfin.com/CT/Darien/5-Hummingbird-Ln-06820/home/107160307,41.08778220000001,-73.4930782
2286,Single Family Residential,15 Sylvan Rd,Darien,CT,6820,1359000,3,4.0,2792.0,23086,1935,0,http://www.redfin.com/CT/Darien/15-Sylvan-Rd-06820/home/107160729,41.094775,-73.465393
2287,Single Family Residential,1510 Fairfield Beach Rd,Fairfield,CT,6824,1999999,4,4.0,3150.0,7405,2016,0,http://www.redfin.com/CT/Fairfield/1510-Fairfield-Beach-Rd-06824/home/107143070,41.124513799999995,-73.25536540000002
2288,Single Family Residential,101 SOMERSBY Way,Farmington,CT,6032,999995,4,4.0,4208.0,40075,2007,83,http://www.redfin.com/CT/Farmington/101-Somersby-Way-06032/home/54426417,41.724296700000004,-72.8700443
2289,Single Family Residential,9 Vine Hill Rd,Farmington,CT,6032,829000,6,4.0,5761.0,174240,2000,0,http://www.redfin.com/CT/Farmington/9-Vine-Hill-Rd-06032/home/54426504,41.7409636,-72.80420759999998
2290,Single Family Residential,357 Shore Rd,Greenwich,CT,6830,3650000,5,4.0,3983.0,27878,1911,0,http://www.redfin.com/CT/Greenwich/357-Shore-Rd-06830/home/107016376,41.012787599999996,-73.63115379999999
2291,Single Family Residential,53 Cognewaugh Rd,Greenwich,CT,6807,1395000,5,4.0,3960.0,11761,1939,0,http://www.redfin.com/CT/Cos-Cob/53-Cognewaugh-Rd-06807/home/107031332,41.059413,-73.5839266
2292,Single Family Residential,47 Lexington Ave,Greenwich,CT,6830,1795000,7,4.0,3019.0,13503,1924,0,http://www.redfin.com/CT/Greenwich/47-Lexington-Ave-06830/home/107012308,41.031811299999994,-73.6225617
2293,Single Family Residential,63 Lancer Rd,Greenwich,CT,6878,1275000,5,4.0,2166.0,13503,1963,13,http://www.redfin.com/CT/Riverside/63-Lancer-Rd-06878/home/107017057,41.051371200000006,-73.5780462
