,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
917,Single Family Residential,7550 E Shorewood Dr,Wasilla,AK,99654.0,519800.0,5.0,3.0,3648.0,51400.0,1982.0,0.0,http://www.redfin.com/AK/Wasilla/7550-E-Shorewood-Dr-99654/home/134654274,61.627989,-149.26136100000002
918,Single Family Residential,680 E Diamond Wood Way,Wasilla,AK,99654.0,306000.0,3.0,2.0,1582.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Wasilla/680-E-Diamond-Wood-Way-99654/home/134902527,61.6421805,-149.43365559999998
919,Single Family Residential,L3 E Diamond Wood Way,Wasilla,AK,99654.0,299900.0,3.0,3.0,1637.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Tanaina/L3-E-Diamond-Wood-Way-99654/home/172452956,61.64285,-149.4351
920,Single Family Residential,L5 N Huckleberry Dr,Wasilla,AK,99654.0,249900.0,3.0,2.0,1318.0,40075.0,2020.0,0.0,http://www.redfin.com/AK/Tanaina/L5-N-Huckleberry-Dr-99654/home/172452877,61.649522,-149.431954
921,Single Family Residential,571 E Barra Loop,Wasilla,AK,99654.0,469000.0,3.0,2.0,1730.0,131986.0,2004.0,0.0,http://www.redfin.com/AK/Wasilla/571-E-Barra-Loop-99654/home/134647868,61.6275024,-149.43907019999997
922,Single Family Residential,4291 N Tote Dr,Wasilla,AK,99654.0,60000.0,1.0,1.0,896.0,41101.0,1983.0,0.0,http://www.redfin.com/AK/Wasilla/4291-N-Tote-St-99623/home/135016220,61.6292564,-149.6313031
923,Single Family Residential,3403 N Edgewater Dr,Wasilla,AK,99623.0,695000.0,4.0,5.0,4532.0,47044.0,2005.0,0.0,http://www.redfin.com/AK/Wasilla/3403-N-Edgewater-Dr-99623/home/134462189,61.618527,-149.6465897
924,Multi-Family (2-4 Unit),6834 S Rolf Cir,Wasilla,AK,99623.0,535000.0,9.0,8.0,4320.0,108900.0,2014.0,0.0,http://www.redfin.com/AK/Wasilla/6834-S-Rolf-Cir-99654/home/135030781,61.5027328,-149.6904179
925,Single Family Residential,7518 S Alix Dr,Wasilla,AK,99623.0,349000.0,4.0,3.0,1892.0,80525.0,2006.0,0.0,http://www.redfin.com/AK/Wasilla/7518-S-Alix-Dr-99654/home/135537421,61.494686,-149.6909629
926,Single Family Residential,2535 W Angela Dr,Wasilla,AK,99623.0,489000.0,4.0,3.0,2655.0,40075.0,2017.0,0.0,http://www.redfin.com/AK/MEADOW-LAKE/Unknown-99623/home/135550959,61.606235,-149.515306
