,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
95,Single Family Residential,42-30 189th St St,Flushing,NY,11358,850000,2.0,2.0,960.0,2500.0,1925.0,,http://www.redfin.com/NY/Flushing/42-30-189th-St-11358/home/20849357,40.758342,-73.792473
96,Condo/Co-op,36-41 169 St Unit 2A,Flushing,NY,11358,568000,2.0,2.0,750.0,,2007.0,382.0,http://www.redfin.com/NY/Flushing/36-41-169th-St-11358/unit-2A/home/45109695,40.761508,-73.796929
97,Condo/Co-op,1 Bay Club Dr Unit 1R,Bayside,NY,11360,638000,2.0,1.0,892.0,,1983.0,742.0,http://www.redfin.com/NY/Bayside/1-Bay-Club-Dr-11360/unit-1R/home/20840734,40.7784405,-73.78042940000002
98,Single Family Residential,386 Burgher Ave,Staten Island,NY,10305,988000,3.0,5.0,2391.0,4100.0,1960.0,,http://www.redfin.com/NY/Staten-Island/386-Burgher-Ave-10305/home/56027787,40.589498999999996,-74.0864043
99,Vacant Land,39-32 215 Pl,Bayside,NY,11361,1280000,0.0,,,6000.0,,,http://www.redfin.com/NY/Flushing/39-32-215th-Pl-11361/home/20832113,40.765011,-73.768054
100,Multi-Family (2-4 Unit),13-33 Mc Bride St,Far Rockaway,NY,11691,699000,4.0,2.0,1650.0,4544.0,1910.0,,http://www.redfin.com/NY/Far-Rockaway/1333-McBride-St-11691/home/20668255,40.6067541,-73.75738129999999
101,Multi-Family (2-4 Unit),150-20 126th St,S. Ozone Park,NY,11420,1299000,6.0,5.0,2400.0,4000.0,2020.0,,http://www.redfin.com/NY/Jamaica/150-20-126th-St-11420/home/20715009,40.664978999999995,-73.815163
102,Multi-Family (2-4 Unit),1634 W 6 St,Brooklyn,NY,11223,1899000,7.0,4.5,3605.0,2667.0,1928.0,,http://www.redfin.com/NY/Brooklyn/1634-W-6th-St-11223/home/40838688,40.6071729,-73.9798579
103,Single Family Residential,7 Alaska St,Staten Island,NY,10310,409000,2.0,1.0,864.0,4680.0,1899.0,,http://www.redfin.com/NY/Staten-Island/7-Alaska-St-10310/home/56133300,40.6389766,-74.12149559999999
104,Multi-Family (2-4 Unit),115 Milton St,Brooklyn,NY,11222,3750000,,,,,,,http://www.redfin.com/NY/Brooklyn/115-Milton-St-11222/home/40739215,40.7295141,-73.9561924
105,Condo/Co-op,Unit at 37 -31 73rd St,Queens,NY,11372,439000,1.0,1.0,,,,,http://www.redfin.com/NY/Jackson-Heights/37-49-73rd-St-11372/home/172670130,40.7475009,-73.892352
106,Condo/Co-op,Unit at 35 -24 72nd St,Queens,NY,11372,429000,1.0,1.0,,,,,http://www.redfin.com/NY/Jackson-Heights/35-47-72nd-St-11372/home/172670128,40.7494492,-73.89352199999999
107,Condo/Co-op,832 Cauldwell Ave Unit C3,BRONX,NY,10456,329000,2.0,1.5,1157.0,,1993.0,175.0,http://www.redfin.com/NY/The-Bronx/832-Cauldwell-Ave-10456/unit-C3/home/44711468,40.820747999999995,-73.90738459999999
108,Single Family Residential,118-41 154th St,Jamaica,NY,11434,405000,3.0,2.0,,1200.0,1915.0,,http://www.redfin.com/NY/Jamaica/118-41-154th-St-11434/home/20713163,40.680386,-73.788156
109,Single Family Residential,28-31 215 St,Bayside,NY,11360,1299000,4.0,3.0,,5017.0,1930.0,,http://www.redfin.com/NY/Flushing/28-31-215th-St-11360/home/20836997,40.776973,-73.772345
110,Condo/Co-op,2138 Bath Ave Unit 1a,Brooklyn,NY,11214,649000,3.0,2.0,1131.0,5156.0,2007.0,281.0,http://www.redfin.com/NY/Brooklyn/2138-Bath-Ave-11214/unit-1A/home/40928349,40.5990522,-73.9984521
111,Condo/Co-op,Unit at 14 Sutton Pl S,New York,NY,10022,1150000,2.0,2.0,,,,,http://www.redfin.com/NY/New-York/14-Sutton-Pl-S-10022/home/45155681,40.7570006,-73.96149140000001
112,Condo/Co-op,Unit at 114 E 72nd St,New York,NY,10021,2250000,2.0,3.5,,,,,http://www.redfin.com/NY/New-York/114-E-72nd-St-10021/home/169626311,40.7706377,-73.9631974
113,Condo/Co-op,Unit at 350 Albany St,New York,NY,10280,678000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/350-Albany-St-10280/home/45234715,40.7101896,-74.01768659999999
114,Condo/Co-op,Unit at 161 W 61st St,New York,NY,10023,1445000,1.0,1.5,,,,,http://www.redfin.com/NY/New-York/161-W-61st-St-10023/home/45267491,40.771538299999996,-73.9858725
115,Condo/Co-op,Unit at 361 W 22nd St,New York,NY,10011,1500000,2.0,2.0,,,,,http://www.redfin.com/NY/New-York/361-W-22nd-St-10011/home/172670047,40.7457677,-74.0011981
116,Condo/Co-op,Unit at 45 Overlook Ter,New York,NY,10033,620000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/45-Overlook-Ter-10033/home/45170218,40.853288799999994,-73.93641269999999
117,Condo/Co-op,Unit at 845 W End Ave,New York,NY,10025,6250000,5.0,6.0,,,,,http://www.redfin.com/NY/New-York/845-W-End-Ave-10025/home/45340155,40.798813,-73.97110040000001
118,Single Family Residential,103 Chandler Ave,Staten Island,NY,10314,589000,3.0,2.0,1008.0,4360.0,1955.0,,http://www.redfin.com/NY/Staten-Island/103-Chandler-Ave-10314/home/56046582,40.6144949,-74.126267
119,Condo/Co-op,330 Lenox Rd Unit 7L,Brooklyn,NY,11226,499000,2.0,2.0,956.0,,,,http://www.redfin.com/NY/Brooklyn/330-Lenox-Rd-11226/unit-7L/home/53487964,40.653839000000005,-73.948548
120,Single Family Residential,24-22 90th Pl,E. Elmhurst,NY,11369,649000,2.0,2.0,,2500.0,1901.0,,http://www.redfin.com/NY/Flushing/24-22-90th-Pl-11369/home/20940941,40.765058,-73.879293
121,Multi-Family (2-4 Unit),4606 Oceania St,Bayside,NY,11361,1650000,5.0,3.0,,2880.0,2019.0,,http://www.redfin.com/NY/Bayside/46-06-Oceania-St-11361/home/20810382,40.756679399999996,-73.773409
122,Multi-Family (2-4 Unit),1545 E 16 St,Brooklyn,NY,11230,1250000,6.0,3.5,3840.0,2686.0,1925.0,,http://www.redfin.com/NY/Brooklyn/1545-E-16th-St-11230/home/40844881,40.6119503,-73.95771459999999
123,Condo/Co-op,Unit at 69 Bennett Ave,New York,NY,10033,499000,1.0,1.5,,,,,http://www.redfin.com/NY/New-York/69-Bennett-Ave-10033/home/115808394,40.8525968,-73.9352912
124,Multi-Family (2-4 Unit),338 52nd St,Brooklyn,NY,11220,1599000,9.0,3.0,3348.0,2003.0,1910.0,,http://www.redfin.com/NY/Brooklyn/338-52nd-St-11220/home/40693075,40.6458749,-74.015061
125,Multi-Family (2-4 Unit),201 Bay 43 St,Brooklyn,NY,11214,1599000,6.0,4.5,2510.0,3867.0,1925.0,,http://www.redfin.com/NY/Brooklyn/201-Bay-43rd-St-11214/home/40849040,40.591255100000005,-73.98904040000001
