January 2019 Contiguous U.S. City Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1981-2010 base period)","1981-2010 Mean"
USW00093862,"Tupelo, Mississippi",43.5,41,1.9,41.6
USW00003945,"Columbia, Missouri",30.4,30,0.2,30.2
USW00003947,"Kansas City, Missouri",28.2,24,-0.6,28.8
USW00013995,"Springfield, Missouri",34.4,52,0.7,33.7
USW00013994,"St. Louis, Missouri",30.8,37,-0.9,31.7
USW00024033,"Billings, Montana",29.0,51,2.4,26.6
USW00094008,"Glasgow, Montana",22.3,65,7.9,14.4
USH00243751,"Great Falls, Montana",29.8,108,4.8,25
USW00024144,"Helena, Montana",25.1,57,2.1,23
USW00024153,"Missoula, Montana",25.1,45,0.4,24.7
USW00014935,"Grand Island, Nebraska",27.1,63,1.4,25.7
USW00014941,"Norfolk, Nebraska",23.3,54,0.6,22.7
USW00024023,"North Platte, Nebraska",29.0,57,2.4,26.6
USW00014942,"Omaha, Nebraska",24.7,50,0.1,24.6
USW00024028,"Scottsbluff, Nebraska",30.5,102,2.3,28.2
USW00023185,"Carson City, Nevada",39.3,70,3.4,35.9
USW00024121,"Elko, Nevada",29.0,93,3.5,25.5
USW00023154,"Ely, Nevada",28.5,68,3.2,25.3
USW00023169,"Las Vegas, Nevada",50.3,57,1.5,48.8
USH00266779,"Reno, Nevada",39.3,105,3.2,36.1
USW00014745,"Concord, New Hampshire",21.8,43,0.5,21.3
USW00093730,"Atlantic City, New Jersey",33.0,38,-0.1,33.1
USW00023050,"Albuquerque, New Mexico",36.0,55,-0.7,36.7
USH00297610,"Roswell, New Mexico",41.8,101,1.5,40.3
USH00300042,"Albany, New York",23.4,74,0.1,23.3
USW00004725,"Binghamton, New York",20.5,32,-1.7,22.2
USH00301012,"Buffalo, New York",23.1,41,-2.0,25.1
USH00305801,"New York, New York",32.6,77,0.1,32.5
USW00094728,"New York (Central Park), New York",32.6,81,-0.1,32.7
USW00094789,"New York (JFK), New York",32.5,35,0.7,31.8
