SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,410 Mc Kee Ct,Fort Atkinson,WI,53538,385000,4,3.0,Fort Atkinson,3300,9583,1920,1,117,,Active,,,http://www.redfin.com/WI/Fort-Atkinson/410-McKee-Ct-53538/home/89573435,METROMLS,1702554,N,Y,42.9180623,-88.8319837
MLS Listing,,Single Family Residential,3355 W Ruskin St,Milwaukee,WI,53215,184900,3,2.0,Milwaukee,1470,5662,1948,1,126,,Active,,,http://www.redfin.com/WI/Milwaukee/3355-W-Ruskin-St-53215/home/57751756,METROMLS,1702553,N,Y,42.9852781,-87.9568938
MLS Listing,,Single Family Residential,3808 N 5th St,Milwaukee,WI,53212,42900,3,1.0,Milwaukee,877,4356,1923,1,49,,Active,,,http://www.redfin.com/WI/Milwaukee/3808-N-5th-St-53212/home/57860099,METROMLS,1702549,N,Y,43.0858442,-87.9158019
MLS Listing,,Condo/Co-op,2060 Farmlane Dr,Slinger,WI,53086,324900,2,2.0,Pleasant Farm Estates,1597,,2020,1,203,280,Active,,,http://www.redfin.com/WI/Slinger/2060-Farmlane-Dr-53086/unit-8/home/89677346,METROMLS,1702548,N,Y,43.3048152,-88.2312192
MLS Listing,,Condo/Co-op,1095 Geneva National Ave N Unit 14-07,Lake Geneva,WI,53147,649900,4,3.5,Geneva,3990,,1993,1,163,305,Active,,,http://www.redfin.com/WI/Lake-Geneva/1095-Geneva-National-Ave-N-53147/unit-14-07/home/89476417,METROMLS,1702547,N,Y,42.6116773,-88.5203836
MLS Listing,,Single Family Residential,9620 401st Ave,Genoa City,WI,53128,349200,3,2.5,Nippersink Estates,1838,33976,2006,1,190,,Active,,,http://www.redfin.com/WI/Genoa-City/9620-401st-Ave-53128/home/57924378,METROMLS,1702546,N,Y,42.5324554,-88.2985469
MLS Listing,,Condo/Co-op,2120 Farmlane Dr,Slinger,WI,53086,324900,2,2.0,Pleasant Farm Estates,1597,,2020,1,203,280,Active,,,http://www.redfin.com/WI/Slinger/2120-Farmlane-Dr-53086/unit-3/home/89677339,METROMLS,1702544,N,Y,43.3040586,-88.2305075
MLS Listing,,Single Family Residential,104 Ridgeline Dr,Columbus,WI,53925,314900,3,2.0,Highland Ridge,2088,16988,2009,1,151,,Active,,,http://www.redfin.com/WI/Columbus/104-Ridgeline-Dr-53925/home/57637632,SCWMLS,1890075,N,Y,43.3264883,-89.0332031
MLS Listing,,Vacant Land,Lt1 Congress St,Williams Bay,WI,53191,99900,,,Williams Bay,,19602,,1,,,Active,,,http://www.redfin.com/WI/Williams-Bay/Lt1-Congress-St-53191/home/172660689,METROMLS,1702543,N,Y,42.575006,-88.5444364
MLS Listing,,Condo/Co-op,2130 Farmlane Dr,Slinger,WI,53086,324900,2,2.0,Pleasant Farm Estates,1597,,2020,1,203,280,Active,,,http://www.redfin.com/WI/Slinger/2130-Farmlane-Dr-53086/unit-2/home/89677338,METROMLS,1702542,N,Y,43.3039017,-88.2309262
MLS Listing,,Vacant Land,623 W Prospect St,Hartford,WI,53027,39900,,,Hartford,,12632,,1,,,Active,,,http://www.redfin.com/WI/Hartford/623-W-Prospect-St-53027/home/113693043,METROMLS,1702538,N,Y,43.3271361,-88.3877059
MLS Listing,,Vacant Land,881 Spruce St,Hartford,WI,53027,39900,,,Hartford,,15245,,1,,,Active,,,http://www.redfin.com/WI/Hartford/881-Spruce-St-53027/home/113693015,METROMLS,1702539,N,Y,43.3264722,-88.3865881
MLS Listing,,Vacant Land,Lot 3 Spring St,Union Grove,WI,53182,189900,,,Yorkville,,235659,,1,,,Active,,,http://www.redfin.com/WI/Union-Grove/Lot-3-Spring-St-Unknown/home/172659764,METROMLS,1702541,N,Y,42.7001383,-88.0686049
MLS Listing,,Multi-Family (2-4 Unit),3736 N Port Washington Ave #3738,Milwaukee,WI,53212,5000,4,2.0,Milwaukee,2028,3920,1926,1,2,,Active,,,http://www.redfin.com/WI/Milwaukee/3736-N-Port-Washington-Ave-53212/unit-3738/home/146371047,METROMLS,1702540,N,Y,43.0847677,-87.9170279
MLS Listing,,Single Family Residential,230 E Greenwood St,Jefferson,WI,53549,158000,3,1.0,Woolcock's 2nd Add,1352,11325,1955,1,117,,Active,,,http://www.redfin.com/WI/Jefferson/230-E-Greenwood-St-53549/home/89575667,METROMLS,1702533,N,Y,43.0108937,-88.8042924
MLS Listing,,Single Family Residential,N47W22358 Woodleaf Way,Pewaukee,WI,53072,514990,3,2.5,Woodleaf Reserve,2203,25264,2020,1,234,,Active,,,http://www.redfin.com/WI/Pewaukee/N47W22358-Woodleaf-Way-53072/home/168665532,METROMLS,1702531,N,Y,43.103558,-88.192714
MLS Listing,,Single Family Residential,7936 S 55th St,Franklin,WI,53132,399900,4,3.0,Franklin,2517,9147,1996,1,159,,Active,,,http://www.redfin.com/WI/Franklin/7936-S-55th-St-53132/home/90326666,METROMLS,1702526,N,Y,42.9006972,-87.9838148
MLS Listing,,Condo/Co-op,269 Fontana Blvd #1707,Fontana,WI,53125,83900,1,1.0,Fontana,330,,1963,1,254,512,Active,,,http://www.redfin.com/WI/Fontana-On-Geneva-Lake/269-Fontana-Blvd-53125/unit-1707/home/168698150,METROMLS,1702524,N,Y,42.5481755,-88.5763278
