SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,21130 S 1400 Rd,Nevada,MO,64772,83000,,,,,1446192,,49,,,Active,,,http://www.redfin.com/MO/Nevada/21130-S-1400-Rd-64772/home/171169617,Heartland MLS,230381,N,Y,37.832673,-94.382482
MLS Listing,,Single Family Residential,1107 N Lynn St,Nevada,MO,64772,155900,3,2.0,,1849,13503,1975,51,84,,Active,,,http://www.redfin.com/MO/Nevada/1107-N-Lynn-St-64772/home/79942587,Heartland MLS,2225852,N,Y,37.8497036,-94.3524586
MLS Listing,,Vacant Land,Country Club Dr,Nevada,MO,64772,39900,,,,,,,53,,,Active,,,http://www.redfin.com/MO/Nevada/Country-Club-Dr-64772/home/79948769,Heartland MLS,2225526,N,Y,37.8207828,-94.3670443
MLS Listing,,Multi-Family (2-4 Unit),426 W Austin Blvd,Nevada,MO,64772,104900,5,3.0,,2814,,1900,61,37,,Active,,,http://www.redfin.com/MO/Nevada/426-W-Austin-Blvd-64772/home/79943594,Heartland MLS,2223922,N,Y,37.8375685,-94.3614068
MLS Listing,,Single Family Residential,127 S Clay St,Nevada,MO,64772,94900,3,2.0,,1734,,1893,62,55,,Active,,,http://www.redfin.com/MO/Nevada/127-S-Clay-St-64772/home/79943581,Heartland MLS,2223800,N,Y,37.837528,-94.3616917
MLS Listing,,Single Family Residential,15877 S 1447 Rd,Nevada,MO,64772,425000,4,3.5,,4500,78408,2017,69,94,,Active,,,http://www.redfin.com/MO/Nevada/15877-S-1447-Rd-64772/home/79940451,Heartland MLS,2222541,N,Y,37.8535508,-94.3716298
MLS Listing,,Single Family Residential,1904 N Elm St,Nevada,MO,64772,179900,3,2.0,,1305,,2002,74,138,,Active,,,http://www.redfin.com/MO/Nevada/1904-N-Elm-St-64772/home/79944414,Heartland MLS,2222015,N,Y,37.8588299,-94.3497663
MLS Listing,,Single Family Residential,403 S Ash St,Nevada,MO,64772,27500,2,1.5,,1626,,1890,75,17,,Active,,,http://www.redfin.com/MO/Nevada/403-S-Ash-St-64772/home/79935395,Heartland MLS,2221726,N,Y,37.8350989,-94.3592683
MLS Listing,,Single Family Residential,1006 W Floral St,Nevada,MO,64772,82500,3,1.0,,912,10454,1968,77,90,,Active,,,http://www.redfin.com/MO/Nevada/1006-W-Floral-St-64772/home/79945750,Heartland MLS,2221299,N,Y,37.8494827,-94.3669065
MLS Listing,,Single Family Residential,2253 S Stonegate Dr,Nevada,MO,64772,244900,3,2.0,,2000,8712,2016,78,122,65,Active,,,http://www.redfin.com/MO/Nevada/2253-Stonegate-Dr-64772/home/79949389,Heartland MLS,2221191,N,Y,37.8134749,-94.3700798
MLS Listing,,Vacant Land,E Stockade & 1500 Rd Rd,Nevada,MO,64772,120952,,,,,2108304,,78,,,Active,,,http://www.redfin.com/MO/Center-Township/E-Stockade-Rd-64772/home/79937193,Heartland MLS,2221156,N,Y,37.7792109,-94.379373
