SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6075 Caroldale Row,La Jolla,CA,92037,1495000,4,3.5,La Jolla,2939,6204,1996,2,509,350,Active,,,http://www.redfin.com/CA/La-Jolla/6075-Caroldale-Row-92037/home/4944259,SDMLS,200037229,N,Y,32.8308783,-117.2382852
MLS Listing,,Condo/Co-op,5460 La Jolla Blvd Unit G102,La Jolla,CA,92037,1259000,3,2,La Jolla,1827,77467,2005,2,689,629,Active,,,http://www.redfin.com/CA/La-Jolla/5460-La-Jolla-Blvd-92037/unit-G102/home/6650652,CRMLS,200037140,N,Y,32.8118562,-117.2683023
MLS Listing,,Condo/Co-op,7514 Girard Ave Unit G,La Jolla,CA,92037,639000,2,1,La Jolla,734,20994,1996,2,871,738,Active,,,http://www.redfin.com/CA/La-Jolla/7514-Girard-Ave-92037/unit-G/home/12110189,SDMLS,200037109,N,Y,32.8406889,-117.2728013
MLS Listing,,Condo/Co-op,1228 Cave St,La Jolla,CA,92037,1495000,3,3.5,La Jolla,2287,,1965,2,654,480,Active,,,http://www.redfin.com/CA/La-Jolla/1228-Cave-St-92037/home/4905989,SDMLS,200037105,N,Y,32.8480972,-117.2716611
MLS Listing,,Single Family Residential,7712 Moonridge Pl,La Jolla,CA,92037,5490000,5,4.5,LAJ - La Jolla,5696,57064,1987,2,964,,Active,,,http://www.redfin.com/CA/La-Jolla/7712-Moonridge-Pl-92037/home/4879797,CRMLS,SB20155279,N,Y,32.8478295,-117.2437742
MLS Listing,,Single Family Residential,7520 Mar,La Jolla,CA,92037,2899000,5,4.5,La Jolla,4910,10758,1963,3,590,,Active,,,http://www.redfin.com/CA/La-Jolla/7520-Mar-Ave-92037/home/4912790,SDMLS,200036969,N,Y,32.8423747,-117.2681398
MLS Listing,,Single Family Residential,740 Genter St,La Jolla,CA,92037,1958000,5,4.5,La Jolla,3554,,1971,3,551,,Active,,,http://www.redfin.com/CA/La-Jolla/740-Genter-St-92037/home/4914270,SDMLS,200036917,N,Y,32.8369759,-117.2747301
MLS Listing,,Single Family Residential,1459 Caminito Diadema,La Jolla,CA,92037,2250000,4,2.5,La Jolla,2699,,1992,3,834,290,Active,,,http://www.redfin.com/CA/La-Jolla/1459-Caminito-Diadema-92037/home/4945672,SDMLS,200036897,N,Y,32.8170583,-117.2484592
MLS Listing,,Single Family Residential,604 Rushville St,La Jolla,CA,92037,1450000,3,2,La Jolla,1546,3746,1940,3,938,,Active,,,http://www.redfin.com/CA/La-Jolla/604-Rushville-St-92037/home/4914447,SDMLS,200036849,N,Y,32.8349773,-117.276039
MLS Listing,,Townhouse,3320 Via Alicante,La Jolla,CA,92037,649000,2,2.5,La Jolla,1140,290015,1975,3,569,463,Active,,,http://www.redfin.com/CA/La-Jolla/3320-Via-Alicante-92037/home/4865595,SDMLS,200036817,N,Y,32.861255,-117.231921
