SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3356 Isabel Dr,Los Angeles,CA,90065,839999,3,2,CYPK - Cypress Park,1048,8006,1922,8,802,,Active,,,http://www.redfin.com/CA/Los-Angeles/3356-Isabel-Dr-90065/home/7075224,i-Tech MLS,320002628,N,Y,34.1038627,-118.2287457
MLS Listing,,Single Family Residential,1818 Outpost Dr,Los Angeles,CA,90068,3400000,4,4.5,Sunset Strip - Hollywood Hills West,4148,8516,1927,8,820,,Active,,,http://www.redfin.com/CA/Los-Angeles/1818-Outpost-Dr-90068/home/7126977,TheMLS,20-611118,N,Y,34.1047033,-118.3437058
PAST SALE,,Multi-Family (2-4 Unit),1952 Selby Ave,Los Angeles,CA,90025,,14,17,,,,2002,,,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1952-Selby-Ave-90025/home/6799852,TheMLS,,N,Y,34.0486963,-118.4314303
MLS Listing,,Multi-Family (2-4 Unit),11512 Culver Blvd,Los Angeles,CA,90066,1690000,8,4,Culver City,3220,5905,1953,8,525,,Active,,,http://www.redfin.com/CA/Los-Angeles/11512-Culver-Blvd-90066/home/6729137,TheMLS,20-611274,N,Y,33.999715,-118.4135948
MLS Listing,,Multi-Family (2-4 Unit),12029 Washington Pl,Los Angeles,CA,90066,1590000,4,3,Culver City,2336,5006,1950,8,681,,Active,,,http://www.redfin.com/CA/Los-Angeles/12029-Washington-Pl-90066/home/6739758,TheMLS,20-611254,N,Y,34.0016219,-118.4265793
MLS Listing,,Multi-Family (2-4 Unit),809 E 77th St,Los Angeles,CA,90001,509900,4,2,Metropolitan South,1266,5099,1925,8,403,,Active,,,http://www.redfin.com/CA/Los-Angeles/809-E-77th-St-90001/home/7285205,TheMLS,20-611248,N,Y,33.969623,-118.260335
MLS Listing,,Single Family Residential,4256 Perlita Ave,Los Angeles,CA,90039,999000,3,3,Atwater,1534,2073,2010,8,651,,Active,,,http://www.redfin.com/CA/Los-Angeles/4256-Perlita-Ave-90039/home/22953834,TheMLS,20-611264,N,Y,34.1308239,-118.268184
MLS Listing,,Vacant Land,4502 Lowell Ave,Los Angeles,CA,90032,349000,,,El Sereno,,7489,,8,,,Active,,,http://www.redfin.com/CA/Los-Angeles/4502-Lowell-Ave-90032/home/7002544,TheMLS,20-611210,N,Y,34.0980161,-118.1619925
MLS Listing,,Single Family Residential,1738 N Ogden Dr,Los Angeles,CA,90046,1949000,2,2.25,Sunset Strip - Hollywood Hills West,1566,5905,1952,8,1245,,Active,,,http://www.redfin.com/CA/Los-Angeles/1738-N-Ogden-Dr-90046/home/7116351,TheMLS,20-610794,N,Y,34.102632,-118.3591484
MLS Listing,,Single Family Residential,2547 S Bundy Dr,Los Angeles,CA,90064,1775000,3,4,West L.A.,2846,5022,2014,8,624,,Active,,,http://www.redfin.com/CA/Los-Angeles/2547-S-Bundy-Dr-90064/home/6755116,TheMLS,20-611256,N,Y,34.0258368,-118.447718
MLS Listing,,Single Family Residential,1642 W 46th St,Los Angeles,CA,90062,580000,4,2,C34 - Los Angeles Southwest,1308,5492,1910,8,443,,Active,,,http://www.redfin.com/CA/Los-Angeles/1642-W-46th-St-90062/home/8091399,CRMLS,DW20151640,N,Y,34.0016657,-118.3082754
MLS Listing,,Single Family Residential,350 Patton St,Los Angeles,CA,90026,999000,3,1,Silver Lake - Echo Park,1200,5600,1887,8,833,,Active,,,http://www.redfin.com/CA/Los-Angeles/350-Patton-St-90026/home/6936750,TheMLS,20-606978,N,Y,34.0664732,-118.2582241
MLS Listing,,Single Family Residential,2642 S Burnside Ave,Los Angeles,CA,90016,775000,2,1,Mid Los Angeles,1047,2726,1929,8,740,,Active,,,http://www.redfin.com/CA/Los-Angeles/2642-S-Burnside-Ave-90016/home/6887307,TheMLS,20-609800,N,Y,34.0311981,-118.3607964
MLS Listing,,Single Family Residential,428 W 75th St,Los Angeles,CA,90003,510000,3,1,C42 - Downtown L.A.,1050,6879,1912,8,486,,Active,,,http://www.redfin.com/CA/Los-Angeles/428-W-75th-St-90003/home/7283549,CRMLS,IV20149547,N,Y,33.9715245,-118.2815376
MLS Listing,,Single Family Residential,2575 S Barrington Ave,Los Angeles,CA,90064,1200000,2,1,West L.A.,720,3303,1946,8,1667,,Active,,,http://www.redfin.com/CA/Los-Angeles/2575-S-Barrington-Ave-90064/home/6754812,TheMLS,20-611148,N,Y,34.0273199,-118.4426242
MLS Listing,,Multi-Family (2-4 Unit),6824 Denver Ave,Los Angeles,CA,90044,750000,5,3,C37 - Metropolitan South,2016,5401,1927,8,372,,Active,,,http://www.redfin.com/CA/Los-Angeles/6824-Denver-Ave-90044/home/7277889,CRMLS,DW20151567,N,Y,33.9775161,-118.2835639
MLS Listing,,Single Family Residential,1256 N Sycamore Ave,Los Angeles,CA,90038,2249000,4,2.5,Hollywood,3103,3103,2020,8,725,,Active,,,http://www.redfin.com/CA/Los-Angeles/1256-N-Sycamore-Ave-90038/home/7107557,TheMLS,20-611180,N,Y,34.0941514,-118.3425572
MLS Listing,,Single Family Residential,4130 Parva Ave,Los Angeles,CA,90027,4200000,5,6,Los Feliz,5492,7973,1992,8,765,,Active,,,http://www.redfin.com/CA/Los-Angeles/4130-Parva-Ave-90027/home/7136140,TheMLS,20-610632,N,Y,34.1160483,-118.2832213
MLS Listing,,Townhouse,6509 La Mirada Ave,Los Angeles,CA,90038,995000,2,3,Hollywood,1723,1405,2009,8,577,,Active,,,http://www.redfin.com/CA/Los-Angeles/6509-La-Mirada-Ave-90038/home/21997630,TheMLS,20-611096,N,Y,34.09359,-118.331447
MLS Listing,,Single Family Residential,5769 Bowesfield St,Los Angeles,CA,90016,1149000,3,1.75,Park Hills Heights,1610,6233,1948,8,714,20,Active,,,http://www.redfin.com/CA/Los-Angeles/5769-Bowesfield-St-90016/home/6890465,TheMLS,20-611108,N,Y,34.0235708,-118.371495
MLS Listing,,Single Family Residential,3416 Glenalbyn Dr,Los Angeles,CA,90065,674000,4,2,Mt Washington,1506,3400,1906,8,448,,Contingent,,,http://www.redfin.com/CA/Los-Angeles/3416-Glenalbyn-Dr-90065/home/7070391,TheMLS,20-611100,N,Y,34.0893654,-118.2169119
MLS Listing,,Single Family Residential,403 N Beachwood Dr,Los Angeles,CA,90004,1495000,3,1,Hancock Park-Wilshire,1644,6750,1921,8,909,,Active,,,http://www.redfin.com/CA/Los-Angeles/403-N-Beachwood-Dr-90004/home/7100593,TheMLS,20-611106,N,Y,34.0777034,-118.3219773
MLS Listing,,Single Family Residential,7031 Woodrow Wilson Dr,Los Angeles,CA,90068,920000,2,1,Sunset Strip - Hollywood Hills West,1136,2703,1959,8,810,,Active,,,http://www.redfin.com/CA/Los-Angeles/7031-Woodrow-Wilson-Dr-90068/home/5314872,TheMLS,20-611060,N,Y,34.124629,-118.3473233
MLS Listing,,Condo/Co-op,837 Crenshaw Blvd #204,Los Angeles,CA,90005,769000,3,2,Hancock Park-Wilshire,1550,13345,2007,8,496,371,Active,,,http://www.redfin.com/CA/Los-Angeles/837-Crenshaw-Blvd-90005/unit-204/home/26848454,TheMLS,20-611116,N,Y,34.0582045,-118.3214677
MLS Listing,,Multi-Family (2-4 Unit),3976 3rd Ave,Los Angeles,CA,90008,849999,4,3,699 - Not Defined,2076,5341,1916,8,409,,Active,,,http://www.redfin.com/CA/Los-Angeles/3976-3rd-Ave-90008/home/6882139,CRMLS,DW20150420,N,Y,34.0117785,-118.320043
MLS Listing,,Condo/Co-op,7250 Franklin Ave #904,Los Angeles,CA,90046,695000,1,1.5,Sunset Strip - Hollywood Hills West,1047,53586,1964,8,664,777,Contingent,,,http://www.redfin.com/CA/Los-Angeles/7250-Franklin-Ave-90046/unit-904/home/7114344,TheMLS,20-603386,N,Y,34.1029448,-118.3474781
MLS Listing,,Single Family Residential,341 N Poinsettia Pl,Los Angeles,CA,90036,1695000,4,3.5,Beverly Center-Miracle Mile,3317,7354,1929,8,511,,Active,,,http://www.redfin.com/CA/Los-Angeles/341-N-Poinsettia-Pl-90036/home/7103247,TheMLS,20-611058,N,Y,34.0774193,-118.3490072
MLS Listing,,Single Family Residential,11996 Darlington Ave,Los Angeles,CA,90049,2250000,3,2.5,Brentwood,1526,8447,1938,8,1474,,Active,,,http://www.redfin.com/CA/Los-Angeles/11996-Darlington-Ave-90049/home/22050651,TheMLS,20-610060,N,Y,34.0478798,-118.4697081
MLS Listing,,Single Family Residential,3777 Moore St,Los Angeles,CA,90066,2499000,4,4,Palms - Mar Vista,2765,5204,2017,8,904,,Active,,,http://www.redfin.com/CA/Los-Angeles/3777-Moore-St-90066/home/6746355,TheMLS,20-604672,N,Y,34.0008671,-118.4412042
MLS Listing,,Condo/Co-op,645 W 9th St #425,Los Angeles,CA,90015,545000,1,1,C42 - Downtown L.A.,754,74720,2006,8,723,694,Active,,,http://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-425/home/17231824,CRMLS,OC20151136,N,Y,34.0458143,-118.2605963
