SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2000 Fashion Show Dr #3204,Las Vegas,NV,89109,218000,0,1,Trump Intl Hotel & Tower- Las Vegas,533,,2006,1,409,560,Active,,,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3204/home/29805665,GLVAR,2219527,N,Y,36.129563,-115.172635
MLS Listing,,Townhouse,6444 Spring Jog St #5,Las Vegas,NV,89166,305900,3,2.5,Brownstones at Providence,1448,1307,2021,1,211,160,Active,,,http://www.redfin.com/NV/Las-Vegas/6444-Spring-Jog-ST-89166/unit-5/home/172670085,GLVAR,2217773,N,Y,36.4303079,-115.5207358
MLS Listing,,Single Family Residential,6531 American Eagle Ave,Las Vegas,NV,89131,540000,4,2.75,Eagle Ranch,3231,7841,2014,1,167,65,Active,,,http://www.redfin.com/NV/Las-Vegas/6531-American-Eagle-Ave-89131/home/61437959,GLVAR,2219547,N,Y,36.2762865,-115.2362397
MLS Listing,,Single Family Residential,9563 Vega Carpio Ave,Las Vegas,NV,89178,315000,3,2.5,Silverleaf,2145,3485,2013,1,147,85,Active,,,http://www.redfin.com/NV/Las-Vegas/9563-Vega-Carpio-Ave-89178/home/65556788,GLVAR,2219562,N,Y,36.0221355,-115.3017466
MLS Listing,,Townhouse,10567 Ridge Glow Ave #30,Las Vegas,NV,89166,318900,3,2.5,Brownstones at Providence,1552,1307,2021,1,205,160,Active,,,http://www.redfin.com/NV/Las-Vegas/10567-Ridge-Glow-AVE-89166/unit-30/home/172670055,GLVAR,2217771,N,Y,36.4303079,-115.5207358
MLS Listing,,Condo/Co-op,2000 Fashion Show Dr #3203,Las Vegas,NV,89109,218000,0,1,Trump Intl Hotel & Tower- Las Vegas,534,,2006,1,408,560,Active,,,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3203/home/29805662,GLVAR,2219525,N,Y,36.129563,-115.172635
MLS Listing,,Condo/Co-op,2000 Fashion Show Dr #3202,Las Vegas,NV,89109,218000,0,1,Trump Intl Hotel & Tower- Las Vegas,533,,2006,1,409,560,Active,,,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3202/home/29805663,GLVAR,2219512,N,Y,36.129563,-115.172635
MLS Listing,,Townhouse,10563 Ridge Glow Ave #28,Las Vegas,NV,89166,295900,3,2.5,Brownstones at Providence,1448,1307,2021,1,204,160,Active,,,http://www.redfin.com/NV/Las-Vegas/10563-Ridge-Glow-AVE-89166/unit-28/home/172670017,GLVAR,2217678,N,Y,36.4303079,-115.5207358
MLS Listing,,Condo/Co-op,4300 Tara Ave Unit 3 (C),Las Vegas,NV,89102,149900,2,1,Tara 1,902,,1982,1,166,175,Active,,,http://www.redfin.com/NV/Las-Vegas/4300-Tara-Ave-89102/unit-3-C/home/172670016,GLVAR,2219192,N,Y,36.1393,-115.1982023
MLS Listing,,Townhouse,10559 Ridge Glow Ave #26,Las Vegas,NV,89166,304900,3,2.5,Brownstones at Providence,1448,1307,2021,1,211,160,Active,,,http://www.redfin.com/NV/Las-Vegas/10559-Ridge-Glow-AVE-89166/unit-26/home/172669981,GLVAR,2217666,N,Y,36.4303079,-115.5207358
MLS Listing,,Single Family Residential,3947 Zapotec Way,Las Vegas,NV,89103,299900,3,2,Casa Linda,1526,6970,1981,1,197,,Active,,,http://www.redfin.com/NV/Las-Vegas/3947-Zapotec-Way-89103/home/29546131,GLVAR,2219200,N,Y,36.117259,-115.2305289
MLS Listing,,Single Family Residential,835 Elmstone Pl,Las Vegas,NV,89138,739950,5,4.5,SUMMERLIN VILLAGE 24 PARCEL A,3089,4792,2019,1,240,,Active,,,http://www.redfin.com/NV/Las-Vegas/835-Elmstone-Pl-89138/home/165791389,GLVAR,2219568,N,Y,36.1601758,-115.3654703
MLS Listing,,Single Family Residential,9482 Ali Baba Ln,Las Vegas,NV,89148,320000,3,2.5,Grandbrooke 7,1613,4356,2003,1,198,19,Active,,,http://www.redfin.com/NV/Las-Vegas/9482-W-Ali-Baba-Ln-89148/home/29915810,GLVAR,2218760,N,Y,36.094651,-115.299257
MLS Listing,,Townhouse,9303 Gilcrease Ave #1206,Las Vegas,NV,89149,170000,0,1.75,Aventine Barada,1121,5465,2005,1,152,161,Active,,,http://www.redfin.com/NV/Las-Vegas/9303-Gilcrease-Ave-89149/unit-1206/home/29023410,GLVAR,2219517,N,Y,36.3018086,-115.297506
MLS Listing,,Single Family Residential,4511 Colorado Ave,Las Vegas,NV,89104,249888,3,2,Metropolitan Park,1684,7405,1978,1,148,,Active,,,http://www.redfin.com/NV/Las-Vegas/4511-E-Colorado-Ave-89104/home/29407599,GLVAR,2218728,N,Y,36.1555118,-115.0765548
MLS Listing,,Townhouse,2740 Heritage Ct,Las Vegas,NV,89121,204900,3,2,Heritage Square,1610,3485,1970,1,127,195,Active,,,http://www.redfin.com/NV/Las-Vegas/2740-Heritage-Ct-89121/home/29472277,GLVAR,2219566,N,Y,36.1400577,-115.104703
MLS Listing,,Townhouse,10557 Ridge Glow Ave #25,Las Vegas,NV,89166,304900,3,2.5,Brownstones at Providence,1448,1307,2021,1,211,160,Active,,,http://www.redfin.com/NV/Las-Vegas/10557-Ridge-Glow-AVE-89166/unit-25/home/172669896,GLVAR,2217653,N,Y,36.4303079,-115.5207358
MLS Listing,,Condo/Co-op,11285 Vision Peak Ave #101,Las Vegas,NV,89135,383883,2,2.5,Charleston & 215 Aka Affinity Unit 1,1563,3485,2020,1,246,237,Active,,,http://www.redfin.com/NV/Las-Vegas/11285-Hidden-Peak-Ave-89135/unit-101/home/113672894,GLVAR,2216778,N,Y,36.158182,-115.3403896
MLS Listing,,Townhouse,2851 Valley View Blvd #1057,Las Vegas,NV,89102,179000,2,2,Quail Estate West-Phase 3,1272,2100,1989,1,141,290,Active,,,http://www.redfin.com/NV/Las-Vegas/2851-S-Valley-View-Blvd-89102/unit-1057/home/29464726,GLVAR,2219546,N,Y,36.1404502,-115.1954728
MLS Listing,,Condo/Co-op,11285 Hidden Peak Ave #102,Las Vegas,NV,89135,380426,2,2,Charleston & 215 Aka Affinity,1193,3485,2020,1,319,285,Active,,,http://www.redfin.com/NV/Las-Vegas/11285-Hidden-Peak-Ave-89135/unit-102/home/113672953,GLVAR,2216739,N,Y,36.158182,-115.3403896
MLS Listing,,Townhouse,11327 Gravitation Dr,Las Vegas,NV,89135,465368,3,2.5,Charleston & 215 Aka Affinity Amd,2298,1742,2019,1,203,265,Active,,,http://www.redfin.com/NV/Las-Vegas/11327-Gravitation-Dr-89135/home/166486245,GLVAR,2216768,N,Y,36.1560363,-115.3413681
MLS Listing,,Condo/Co-op,11270 Hidden Peak Ave #203,Las Vegas,NV,89135,333180,2,2.5,Charleston & 215 Aka Affinity Unit 1,1387,17424,2020,1,240,285,Active,,,http://www.redfin.com/NV/Las-Vegas/11270-Hidden-Peak-Ave-89135/unit-203/home/165920750,GLVAR,2216772,N,Y,36.1585197,-115.3400178
MLS Listing,,Townhouse,11329 Gravitation Dr,Las Vegas,NV,89135,442843,3,2.5,Charleston & 215 Aka Affinity Amd,2027,1742,2019,1,218,265,Active,,,http://www.redfin.com/NV/Las-Vegas/11329-Gravitation-Dr-89135/home/165920468,GLVAR,2216746,N,Y,36.1559652,-115.3414332
MLS Listing,,Single Family Residential,9091 Island Wolf Ave,Las Vegas,NV,89149,359999,4,2.5,Oso Blanca & Grand Teton Phase 2,2261,4792,2016,1,159,49,Active,,,http://www.redfin.com/NV/Las-Vegas/9091-Island-Wolf-Ave-89149/home/109871203,GLVAR,2219549,N,Y,36.3050476,-115.2939681
MLS Listing,,Townhouse,9925 Hemet Dr,Las Vegas,NV,89134,375000,2,1.75,Sun City Las Vegas,1599,3049,1994,1,235,347,Active,,,http://www.redfin.com/NV/Las-Vegas/9925-Hemet-Dr-89134/home/29151174,GLVAR,2219559,N,Y,36.213997,-115.312954
