SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,888 7th St Unit LL-8,San Francisco,CA,94107,659000,0,1.0,Potrero Hill,495,,2007,6,1331,374,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-LL-8/home/17306001,San Francisco MLS,502260,N,Y,37.770553,-122.4004052
MLS Listing,,Condo/Co-op,1075 Market St #301,San Francisco,CA,94103,665000,0,1.0,South of Market,544,,2018,24,1222,665,Active,,,http://www.redfin.com/CA/San-Francisco/1075-Market-St-94103/unit-301/home/144240890,San Francisco MLS,501319,N,Y,37.7807996,-122.4118342
MLS Listing,,Condo/Co-op,58 Varennes St Unit A,San Francisco,CA,94131,669000,2,1.0,Telegraph Hill,,,1906,32,,185,Active,,,http://www.redfin.com/CA/San-Francisco/58-Varennes-St-94133/unit-A/home/146993334,San Francisco MLS,500921,N,Y,37.8005638,-122.4067219
MLS Listing,,Condo/Co-op,950 Tennessee St #116,San Francisco,CA,94107,669000,0,1.0,Central Waterfront,472,,2020,47,1417,435,Active,,,http://www.redfin.com/CA/San-Francisco/950-Tennessee-St-94107/unit-116/home/172132136,San Francisco MLS,500064,N,Y,37.7596747,-122.3898245
MLS Listing,,Condo/Co-op,250 King St #1504,San Francisco,CA,94107,669000,0,1.0,Mission Bay,595,,2004,47,1124,799,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-1504/home/22889814,San Francisco MLS,499550,N,Y,37.7781222,-122.3932903
MLS Listing,,Condo/Co-op,3615 Irving St,San Francisco,CA,94122,669000,2,2.0,Outer Sunset,1128,,1945,5,593,,Active,,,http://www.redfin.com/CA/San-Francisco/3615-Irving-St-94122/home/1899785,San Francisco MLS,502349,N,Y,37.7625444,-122.4967677
MLS Listing,,Condo/Co-op,1635 10th Ave #1,San Francisco,CA,94122,670000,1,1.0,Inner Sunset,632,,1961,60,1060,340,Active,,,http://www.redfin.com/CA/San-Francisco/1635-10th-Ave-94122/unit-1/home/171009479,San Francisco MLS,499309,N,Y,37.7577286,-122.4672681
MLS Listing,,Condo/Co-op,5853 Mission St #7,San Francisco,CA,94112,670000,2,1.0,Crocker Amazon,780,,1980,20,859,280,Active,,,http://www.redfin.com/CA/San-Francisco/5853-Mission-St-94112/unit-7/home/1807961,San Francisco MLS,501129,N,Y,37.7088126,-122.451422
MLS Listing,,Condo/Co-op,501 Hudson Ave #302,SAN FRANCISCO,CA,94124,678000,1,1.0,SAN FRANCISCO,811,,2016,55,836,425,Active,,,http://www.redfin.com/CA/San-Francisco/501-Hudson-Ave-94124/unit-302/home/105306840,MLSListings,ML81796150,N,Y,37.728502326,-122.3683957
MLS Listing,,Condo/Co-op,3415 Cesar Chavez Unit A,San Francisco,CA,94110,678000,1,1.0,Bernal Heights,585,,1991,4,1159,126,Active,,,http://www.redfin.com/CA/San-Francisco/3415-Cesar-Chavez-94110/unit-A/home/17304591,San Francisco MLS,499544,N,Y,37.7479505,-122.4188311
