city,state,abbr,summer_temp,winter_temp
Green Bay, Wisconsin,WI,67.9,16
La Crosse, Wisconsin,WI,71.9,15.7
Madison, Wisconsin,WI,68.5,16.1
Milwaukee, Wisconsin,WI,71.5,21.3
Wausau, Wisconsin,WI,65.3,12.5
Casper, Wyoming,WY,69.7,26.9
Cheyenne, Wyoming,WY,70.5,31
Lander, Wyoming,WY,70.9,17.9
Sheridan,Wyoming,WY,69.3,27.1
Nevada,Missouri,MO,90,42
