state,city,population,location
Alabama,Vincent town,1988,"Vincent town, Alabama"
Alabama,Springville city,4080,"Springville city, Alabama"
Alabama,Reece City town,653,"Reece City town, Alabama"
Alabama,Prichard city,22659,"Prichard city, Alabama"
Alabama,Good Hope city,2264,"Good Hope city, Alabama"
Alabama,Coker town,979,"Coker town, Alabama"
Alabama,Addison town,758,"Addison town, Alabama"
Alabama,Tuscumbia city,8423,"Tuscumbia city, Alabama"
Alabama,Collinsville town,1983,"Collinsville town, Alabama"
Alabama,White Hall town,858,"White Hall town, Alabama"
Alabama,Satsuma city,6168,"Satsuma city, Alabama"
Alabama,Needham town,94,"Needham town, Alabama"
Alabama,Phenix City city,32822,"Phenix City city, Alabama"
Alabama,Talladega Springs town,166,"Talladega Springs town, Alabama"
Alabama,Slocomb city,1980,"Slocomb city, Alabama"
Alabama,Florala town,1980,"Florala town, Alabama"
Alabama,Falkville town,1279,"Falkville town, Alabama"
Alabama,Shorter town,474,"Shorter town, Alabama"
Alabama,Priceville town,2658,"Priceville town, Alabama"
Alabama,Ashland town,2037,"Ashland town, Alabama"
Alabama,Camp Hill town,1014,"Camp Hill town, Alabama"
Alabama,Tuskegee city,9865,"Tuskegee city, Alabama"
Alabama,Tarrant city,6397,"Tarrant city, Alabama"
Alabama,Margaret town,4428,"Margaret town, Alabama"
Alabama,Carrollton town,1019,"Carrollton town, Alabama"
Alabama,Waldo town,283,"Waldo town, Alabama"
Alabama,Roanoke city,6074,"Roanoke city, Alabama"
Alabama,Fairview town,446,"Fairview town, Alabama"
Alabama,Hokes Bluff city,4286,"Hokes Bluff city, Alabama"
Alabama,New Hope city,2810,"New Hope city, Alabama"
Alabama,Gurley town,801,"Gurley town, Alabama"
Alabama,Holly Pond town,798,"Holly Pond town, Alabama"
Alabama,Gainesville town,208,"Gainesville town, Alabama"
Alabama,Clayhatchee town,589,"Clayhatchee town, Alabama"
Alabama,Millport town,1049,"Millport town, Alabama"
Alabama,Hayden town,444,"Hayden town, Alabama"
Alabama,Union Grove town,77,"Union Grove town, Alabama"
Alabama,Repton town,282,"Repton town, Alabama"
Alabama,Pine Ridge town,282,"Pine Ridge town, Alabama"
Alabama,Tuscaloosa city,90468,"Tuscaloosa city, Alabama"
Alabama,Anderson town,282,"Anderson town, Alabama"
Alabama,Courtland town,609,"Courtland town, Alabama"
Alabama,Kennedy town,447,"Kennedy town, Alabama"
Alabama,Locust Fork town,1186,"Locust Fork town, Alabama"
Alabama,Loxley town,1632,"Loxley town, Alabama"
Alabama,Fyffe town,1018,"Fyffe town, Alabama"
