state,city,population,location
Georgia,Darien city,1975,"Darien city, Georgia"
Georgia,Tennille city,1539,"Tennille city, Georgia"
Georgia,Chickamauga city,3101,"Chickamauga city, Georgia"
Georgia,Albany city,77434,"Albany city, Georgia"
Georgia,Webster County unified government,2799,"Webster County unified government, Georgia"
Georgia,Leesburg city,2896,"Leesburg city, Georgia"
Georgia,Baldwin city,3279,"Baldwin city, Georgia"
Georgia,Bogart town,1034,"Bogart town, Georgia"
Georgia,Gray city,3276,"Gray city, Georgia"
Georgia,Walnut Grove city,1330,"Walnut Grove city, Georgia"
Georgia,Jeffersonville city,1035,"Jeffersonville city, Georgia"
Georgia,Meigs city,1035,"Meigs city, Georgia"
Georgia,Du Pont town,120,"Du Pont town, Georgia"
Georgia,Lake City city,2612,"Lake City city, Georgia"
Georgia,Oxford city,2134,"Oxford city, Georgia"
Georgia,Oglethorpe city,1328,"Oglethorpe city, Georgia"
Georgia,Lincolnton city,1566,"Lincolnton city, Georgia"
Georgia,Smyrna city,51271,"Smyrna city, Georgia"
Georgia,Lumber City city,1328,"Lumber City city, Georgia"
Georgia,Midway city,2121,"Midway city, Georgia"
Georgia,East Point city,33712,"East Point city, Georgia"
Georgia,Clarkesville city,1733,"Clarkesville city, Georgia"
Georgia,Broxton city,1189,"Broxton city, Georgia"
Georgia,Meansville city,182,"Meansville city, Georgia"
Georgia,Jersey city,137,"Jersey city, Georgia"
Georgia,Thunderbolt town,2668,"Thunderbolt town, Georgia"
Georgia,Harlem city,2666,"Harlem city, Georgia"
Georgia,Ray City city,1090,"Ray City city, Georgia"
Georgia,Grayson city,2666,"Grayson city, Georgia"
Georgia,Warrenton city,1937,"Warrenton city, Georgia"
Georgia,Aragon city,1249,"Aragon city, Georgia"
Georgia,Cave Spring city,1200,"Cave Spring city, Georgia"
Georgia,Hogansville city,3060,"Hogansville city, Georgia"
Georgia,Mountain City town,1088,"Mountain City town, Georgia"
Georgia,Wrightsville city,2195,"Wrightsville city, Georgia"
Georgia,Reynolds city,1086,"Reynolds city, Georgia"
Georgia,Kennesaw city,29783,"Kennesaw city, Georgia"
Georgia,Wrens city,2187,"Wrens city, Georgia"
Georgia,Monticello city,2657,"Monticello city, Georgia"
Georgia,Talmo town,180,"Talmo town, Georgia"
Georgia,East Dublin city,2441,"East Dublin city, Georgia"
Georgia,Abbeville city,2908,"Abbeville city, Georgia"
Georgia,Camak town,138,"Camak town, Georgia"
Georgia,LaGrange city,29588,"LaGrange city, Georgia"
Georgia,Donalsonville city,2650,"Donalsonville city, Georgia"
Georgia,Mount Vernon city,2451,"Mount Vernon city, Georgia"
Georgia,Varnell city,1744,"Varnell city, Georgia"
Georgia,Twin City city,1742,"Twin City city, Georgia"
Georgia,Buena Vista city,2173,"Buena Vista city, Georgia"
Georgia,Homerville city,2456,"Homerville city, Georgia"
Georgia,Hinesville city,33437,"Hinesville city, Georgia"
Georgia,De Soto city,195,"De Soto city, Georgia"
Georgia,Edison city,1531,"Edison city, Georgia"
Georgia,Soperton city,3115,"Soperton city, Georgia"
Georgia,Vernonburg town,122,"Vernonburg town, Georgia"
Georgia,Sunny Side city,134,"Sunny Side city, Georgia"
Georgia,Lawrenceville city,28546,"Lawrenceville city, Georgia"
Georgia,Watkinsville city,2832,"Watkinsville city, Georgia"
Georgia,Ellijay city,1619,"Ellijay city, Georgia"
Georgia,McCaysville city,1056,"McCaysville city, Georgia"
Georgia,Statesboro city,28422,"Statesboro city, Georgia"
Georgia,Rebecca town,187,"Rebecca town, Georgia"
Georgia,Alston town,159,"Alston town, Georgia"
Georgia,Peachtree City city,34364,"Peachtree City city, Georgia"
Georgia,Ranger town,131,"Ranger town, Georgia"
Georgia,Nahunta city,1053,"Nahunta city, Georgia"
Georgia,Tallapoosa city,3170,"Tallapoosa city, Georgia"
Georgia,Deepstep town,131,"Deepstep town, Georgia"
Georgia,Springfield city,2852,"Springfield city, Georgia"
Georgia,Dunwoody city,46267,"Dunwoody city, Georgia"
Georgia,Blue Ridge city,1290,"Blue Ridge city, Georgia"
Georgia,Alto town,1172,"Alto town, Georgia"
Georgia,Bowdon city,2040,"Bowdon city, Georgia"
Georgia,Talking Rock town,64,"Talking Rock town, Georgia"
Georgia,Daisy city,129,"Daisy city, Georgia"
Georgia,Zebulon city,1174,"Zebulon city, Georgia"
Georgia,Sandy Springs city,93853,"Sandy Springs city, Georgia"
Georgia,Wadley city,2061,"Wadley city, Georgia"
Georgia,Clayton city,2047,"Clayton city, Georgia"
Georgia,Woolsey town,158,"Woolsey town, Georgia"
Georgia,Rochelle city,1174,"Rochelle city, Georgia"
Georgia,Parrott town,158,"Parrott town, Georgia"
Georgia,Rest Haven town,62,"Rest Haven town, Georgia"
Georgia,Union Point city,1617,"Union Point city, Georgia"
Georgia,Mount Airy town,1284,"Mount Airy town, Georgia"
Georgia,Royston city,2582,"Royston city, Georgia"
Georgia,Roswell city,88346,"Roswell city, Georgia"
Georgia,Gainesville city,33804,"Gainesville city, Georgia"
Georgia,Rome city,36303,"Rome city, Georgia"
Georgia,Pearson city,2117,"Pearson city, Georgia"
Georgia,Louisville city,2493,"Louisville city, Georgia"
Georgia,Bellville city,123,"Bellville city, Georgia"
Georgia,Millen city,3120,"Millen city, Georgia"
Georgia,Berkeley Lake city,1574,"Berkeley Lake city, Georgia"
Georgia,Ludowici city,1703,"Ludowici city, Georgia"
Georgia,Colquitt city,1992,"Colquitt city, Georgia"
Georgia,Dooling town,154,"Dooling town, Georgia"
Georgia,Roberta city,1007,"Roberta city, Georgia"
Georgia,Folkston city,2502,"Folkston city, Georgia"
Georgia,Boston city,1315,"Boston city, Georgia"
Georgia,Pembroke city,2196,"Pembroke city, Georgia"
Georgia,Nelson city,1314,"Nelson city, Georgia"
Georgia,Mount Zion city,1696,"Mount Zion city, Georgia"
Georgia,Georgetown-Quitman County unified government,2513,"Georgetown-Quitman County unified government, Georgia"
Georgia,Summertown city,160,"Summertown city, Georgia"
Georgia,Enigma town,1278,"Enigma town, Georgia"
Georgia,Chester town,1596,"Chester town, Georgia"
Georgia,Davisboro city,2010,"Davisboro city, Georgia"
Georgia,Lookout Mountain city,1602,"Lookout Mountain city, Georgia"
Georgia,Jakin city,155,"Jakin city, Georgia"
Georgia,Pine Mountain town,1304,"Pine Mountain town, Georgia"
Georgia,Gordon city,2017,"Gordon city, Georgia"
Georgia,Dawsonville city,2536,"Dawsonville city, Georgia"
Georgia,Guyton city,1684,"Guyton city, Georgia"
Georgia,Girard town,156,"Girard town, Georgia"
Georgia,Nicholson city,1696,"Nicholson city, Georgia"
Georgia,Dalton city,33128,"Dalton city, Georgia"
Georgia,Shellman city,1083,"Shellman city, Georgia"
Georgia,Rayle town,199,"Rayle town, Georgia"
Georgia,Chattahoochee Hills city,2378,"Chattahoochee Hills city, Georgia"
Georgia,Hamilton city,1016,"Hamilton city, Georgia"
Georgia,Trion town,1827,"Trion town, Georgia"
Georgia,Riddleville town,96,"Riddleville town, Georgia"
Georgia,Rocky Ford town,144,"Rocky Ford town, Georgia"
Georgia,Demorest city,1823,"Demorest city, Georgia"
Georgia,Marshallville city,1448,"Marshallville city, Georgia"
Georgia,Bloomingdale city,2713,"Bloomingdale city, Georgia"
Georgia,Nunez city,147,"Nunez city, Georgia"
Georgia,Tallulah Falls town,168,"Tallulah Falls town, Georgia"
Georgia,Tybee Island city,2990,"Tybee Island city, Georgia"
Georgia,Lumpkin city,2741,"Lumpkin city, Georgia"
Georgia,Lithonia city,1924,"Lithonia city, Georgia"
Georgia,Claxton city,2746,"Claxton city, Georgia"
Georgia,Ellaville city,1812,"Ellaville city, Georgia"
Georgia,Mitchell town,199,"Mitchell town, Georgia"
Georgia,Edge Hill city,24,"Edge Hill city, Georgia"
Georgia,Douglasville city,30961,"Douglasville city, Georgia"
Georgia,Milton city,32661,"Milton city, Georgia"
Georgia,Marietta city,56579,"Marietta city, Georgia"
Georgia,Lone Oak town,92,"Lone Oak town, Georgia"
Georgia,Homer town,1141,"Homer town, Georgia"
Georgia,Manassas city,94,"Manassas city, Georgia"
Georgia,Emerson city,1470,"Emerson city, Georgia"
Georgia,Trenton city,2301,"Trenton city, Georgia"
Georgia,Winterville city,1122,"Winterville city, Georgia"
Georgia,Woodbine city,1412,"Woodbine city, Georgia"
Georgia,Bluffton town,103,"Bluffton town, Georgia"
Georgia,Aldora town,103,"Aldora town, Georgia"
Georgia,Greensboro city,3359,"Greensboro city, Georgia"
Georgia,Buckhead town,171,"Buckhead town, Georgia"
Georgia,Geneva town,105,"Geneva town, Georgia"
Georgia,Omega city,1221,"Omega city, Georgia"
Georgia,Comer city,1126,"Comer city, Georgia"
Georgia,Allentown city,169,"Allentown city, Georgia"
Georgia,Porterdale city,1429,"Porterdale city, Georgia"
Georgia,Willacoochee city,1391,"Willacoochee city, Georgia"
Georgia,Sylvania city,2956,"Sylvania city, Georgia"
Georgia,Atlanta city,420003,"Atlanta city, Georgia"
Georgia,Sparta city,1400,"Sparta city, Georgia"
Georgia,Ball Ground city,1433,"Ball Ground city, Georgia"
Georgia,Surrency town,201,"Surrency town, Georgia"
Georgia,Hahira city,2737,"Hahira city, Georgia"
Georgia,Garfield city,201,"Garfield city, Georgia"
Georgia,Brooklet city,1395,"Brooklet city, Georgia"
Georgia,Avondale Estates city,2960,"Avondale Estates city, Georgia"
Georgia,Alpharetta city,57551,"Alpharetta city, Georgia"
Georgia,Duluth city,26600,"Duluth city, Georgia"
Georgia,Remerton city,1123,"Remerton city, Georgia"
Georgia,Culloden city,175,"Culloden city, Georgia"
Georgia,Sparks town,2052,"Sparks town, Georgia"
Georgia,Junction City town,177,"Junction City town, Georgia"
Georgia,Columbus city,189885,"Columbus city, Georgia"
Georgia,Jacksonville city,140,"Jacksonville city, Georgia"
Georgia,Senoia city,3307,"Senoia city, Georgia"
Georgia,Vidette city,112,"Vidette city, Georgia"
Georgia,Haralson town,166,"Haralson town, Georgia"
Georgia,Statham city,2408,"Statham city, Georgia"
Georgia,Sharon city,140,"Sharon city, Georgia"
Georgia,Fort Gaines city,1107,"Fort Gaines city, Georgia"
Georgia,Register town,175,"Register town, Georgia"
Georgia,Gay town,89,"Gay town, Georgia"
Georgia,Richland city,1473,"Richland city, Georgia"
Georgia,Arcade city,1786,"Arcade city, Georgia"
Georgia,Hull city,198,"Hull city, Georgia"
Georgia,Maysville town,1798,"Maysville town, Georgia"
Georgia,Hoschton city,1377,"Hoschton city, Georgia"
Georgia,Arlington city,1479,"Arlington city, Georgia"
Georgia,Newnan city,33039,"Newnan city, Georgia"
Georgia,Valdosta city,54518,"Valdosta city, Georgia"
Georgia,Augusta,195844,"Augusta, Georgia"
Georgia,Lula city,2758,"Lula city, Georgia"
Georgia,Grantville city,3041,"Grantville city, Georgia"
Georgia,Buchanan city,1104,"Buchanan city, Georgia"
Georgia,Tarrytown town,87,"Tarrytown town, Georgia"
Georgia,Santa Claus city,165,"Santa Claus city, Georgia"
Hawaii,Urban Honolulu CDP,337256,"Urban Honolulu CDP, Hawaii"
Idaho,Minidoka city,112,"Minidoka city, Idaho"
Idaho,Inkom city,854,"Inkom city, Idaho"
Idaho,Mud Lake city,358,"Mud Lake city, Idaho"
Idaho,Arimo city,355,"Arimo city, Idaho"
Idaho,Buhl city,4122,"Buhl city, Idaho"
Idaho,Dietrich city,332,"Dietrich city, Idaho"
Idaho,Rigby city,3945,"Rigby city, Idaho"
Idaho,Weippe city,441,"Weippe city, Idaho"
Idaho,Orofino city,3142,"Orofino city, Idaho"
Idaho,Sugar City city,1514,"Sugar City city, Idaho"
Idaho,Blackfoot city,11899,"Blackfoot city, Idaho"
Idaho,Grangeville city,3141,"Grangeville city, Idaho"
Idaho,Smelterville city,627,"Smelterville city, Idaho"
Idaho,Worley city,257,"Worley city, Idaho"
Idaho,Hayden city,13294,"Hayden city, Idaho"
Idaho,Culdesac city,380,"Culdesac city, Idaho"
Idaho,Lewiston city,31894,"Lewiston city, Idaho"
Idaho,Onaway city,187,"Onaway city, Idaho"
Idaho,Murtaugh city,115,"Murtaugh city, Idaho"
Idaho,Hauser city,678,"Hauser city, Idaho"
Idaho,Dubois city,677,"Dubois city, Idaho"
Idaho,Kootenai city,678,"Kootenai city, Idaho"
Idaho,Pocatello city,54255,"Pocatello city, Idaho"
Idaho,Ashton city,1127,"Ashton city, Idaho"
Idaho,Lava Hot Springs city,407,"Lava Hot Springs city, Idaho"
Idaho,Stanley city,63,"Stanley city, Idaho"
Idaho,Dalton Gardens city,2335,"Dalton Gardens city, Idaho"
Idaho,Wardner city,188,"Wardner city, Idaho"
Idaho,Cottonwood city,900,"Cottonwood city, Idaho"
Idaho,Castleford city,226,"Castleford city, Idaho"
Idaho,Star city,5793,"Star city, Idaho"
Idaho,Pinehurst city,1619,"Pinehurst city, Idaho"
Idaho,Cascade city,939,"Cascade city, Idaho"
Idaho,Cambridge city,328,"Cambridge city, Idaho"
Idaho,Sun Valley city,1406,"Sun Valley city, Idaho"
Idaho,Eden city,405,"Eden city, Idaho"
Idaho,Teton city,735,"Teton city, Idaho"
Idaho,Bonners Ferry city,2543,"Bonners Ferry city, Idaho"
Idaho,Fernan Lake Village city,169,"Fernan Lake Village city, Idaho"
Idaho,Leadore city,105,"Leadore city, Idaho"
Idaho,Paul city,1169,"Paul city, Idaho"
Idaho,Bancroft city,377,"Bancroft city, Idaho"
Idaho,Huetter city,100,"Huetter city, Idaho"
Idaho,Soda Springs city,3058,"Soda Springs city, Idaho"
Idaho,Ferdinand city,159,"Ferdinand city, Idaho"
Idaho,Midvale city,171,"Midvale city, Idaho"
Idaho,Horseshoe Bend city,707,"Horseshoe Bend city, Idaho"
Idaho,Downey city,625,"Downey city, Idaho"
Idaho,Hollister city,272,"Hollister city, Idaho"
Idaho,McCall city,2991,"McCall city, Idaho"
Idaho,Shoshone city,1461,"Shoshone city, Idaho"
Idaho,Tetonia city,269,"Tetonia city, Idaho"
Idaho,Winchester city,340,"Winchester city, Idaho"
Idaho,Salmon city,3112,"Salmon city, Idaho"
Idaho,Osburn city,1555,"Osburn city, Idaho"
Idaho,Middleton city,5524,"Middleton city, Idaho"
Idaho,Troy city,862,"Troy city, Idaho"
Idaho,Preston city,5204,"Preston city, Idaho"
Idaho,Rupert city,5554,"Rupert city, Idaho"
Idaho,Bovill city,260,"Bovill city, Idaho"
Idaho,Fairfield city,416,"Fairfield city, Idaho"
Idaho,Garden City city,10972,"Garden City city, Idaho"
Idaho,Moyie Springs city,718,"Moyie Springs city, Idaho"
Idaho,Grace city,915,"Grace city, Idaho"
Idaho,Albion city,267,"Albion city, Idaho"
Idaho,Eagle city,19908,"Eagle city, Idaho"
Idaho,Jerome city,10890,"Jerome city, Idaho"
Idaho,Heyburn city,3089,"Heyburn city, Idaho"
Idaho,New Plymouth city,1538,"New Plymouth city, Idaho"
Idaho,Greenleaf city,846,"Greenleaf city, Idaho"
Idaho,Riggins city,419,"Riggins city, Idaho"
Idaho,Basalt city,394,"Basalt city, Idaho"
Idaho,Declo city,343,"Declo city, Idaho"
Idaho,Wilder city,1533,"Wilder city, Idaho"
Idaho,Ucon city,1108,"Ucon city, Idaho"
Idaho,White Bird city,91,"White Bird city, Idaho"
Idaho,Clifton city,259,"Clifton city, Idaho"
Idaho,Malad City city,2095,"Malad City city, Idaho"
Idaho,Oldtown city,184,"Oldtown city, Idaho"
Idaho,Kooskia city,607,"Kooskia city, Idaho"
Idaho,Elk River city,125,"Elk River city, Idaho"
Idaho,Filer city,2508,"Filer city, Idaho"
Idaho,Hansen city,1144,"Hansen city, Idaho"
Idaho,Idaho Falls city,56813,"Idaho Falls city, Idaho"
Idaho,Acequia city,124,"Acequia city, Idaho"
Idaho,Council city,839,"Council city, Idaho"
Idaho,Menan city,741,"Menan city, Idaho"
Idaho,Weston city,437,"Weston city, Idaho"
Idaho,Burley city,10345,"Burley city, Idaho"
Idaho,Reubens city,71,"Reubens city, Idaho"
Idaho,Glenns Ferry city,1319,"Glenns Ferry city, Idaho"
Idaho,Carey city,604,"Carey city, Idaho"
Idaho,Franklin city,641,"Franklin city, Idaho"
Idaho,Meridian city,75092,"Meridian city, Idaho"
Idaho,St. Maries city,2402,"St. Maries city, Idaho"
Idaho,Tensed city,123,"Tensed city, Idaho"
Idaho,Bellevue city,2287,"Bellevue city, Idaho"
Idaho,Lapwai city,1137,"Lapwai city, Idaho"
Idaho,Ponderay city,1137,"Ponderay city, Idaho"
Idaho,Athol city,692,"Athol city, Idaho"
Idaho,Kellogg city,2120,"Kellogg city, Idaho"
Idaho,Mullan city,692,"Mullan city, Idaho"
Idaho,Ririe city,656,"Ririe city, Idaho"
Idaho,Nampa city,81557,"Nampa city, Idaho"
Idaho,Weiser city,5507,"Weiser city, Idaho"
Idaho,Crouch city,162,"Crouch city, Idaho"
Idaho,Butte City city,74,"Butte City city, Idaho"
Idaho,Challis city,1081,"Challis city, Idaho"
Idaho,Hope city,86,"Hope city, Idaho"
Idaho,Hagerman city,872,"Hagerman city, Idaho"
Idaho,Spirit Lake city,1945,"Spirit Lake city, Idaho"
Idaho,Rathdrum city,6826,"Rathdrum city, Idaho"
Idaho,Aberdeen city,1994,"Aberdeen city, Idaho"
Idaho,East Hope city,210,"East Hope city, Idaho"
Idaho,Mountain Home city,14206,"Mountain Home city, Idaho"
Idaho,Marsing city,1031,"Marsing city, Idaho"
Idaho,Payette city,7433,"Payette city, Idaho"
Idaho,Drummond city,16,"Drummond city, Idaho"
Idaho,Coeur d'Alene city,44137,"Coeur d'Alene city, Idaho"
Idaho,Stites city,221,"Stites city, Idaho"
Idaho,Pierce city,508,"Pierce city, Idaho"
Idaho,Bloomington city,206,"Bloomington city, Idaho"
Idaho,Twin Falls city,44125,"Twin Falls city, Idaho"
Idaho,Potlatch city,804,"Potlatch city, Idaho"
Idaho,Montpelier city,2597,"Montpelier city, Idaho"
Idaho,Kuna city,15210,"Kuna city, Idaho"
Idaho,Gooding city,3567,"Gooding city, Idaho"
Idaho,Hazelton city,753,"Hazelton city, Idaho"
Idaho,Richfield city,482,"Richfield city, Idaho"
Idaho,Rexburg city,25484,"Rexburg city, Idaho"
Idaho,American Falls city,4457,"American Falls city, Idaho"
Idaho,Hailey city,7960,"Hailey city, Idaho"
Idaho,Plummer city,1044,"Plummer city, Idaho"
Idaho,Mackay city,517,"Mackay city, Idaho"
Idaho,New Meadows city,496,"New Meadows city, Idaho"
Idaho,Nezperce city,466,"Nezperce city, Idaho"
Idaho,Deary city,506,"Deary city, Idaho"
Idaho,Wallace city,784,"Wallace city, Idaho"
Idaho,Homedale city,2633,"Homedale city, Idaho"
Idaho,Boise City city,205671,"Boise City city, Idaho"
Idaho,Iona city,1803,"Iona city, Idaho"
Idaho,Craigmont city,501,"Craigmont city, Idaho"
Idaho,Sandpoint city,7365,"Sandpoint city, Idaho"
Idaho,Moscow city,23800,"Moscow city, Idaho"
Idaho,Parma city,1983,"Parma city, Idaho"
Idaho,Ketchum city,2689,"Ketchum city, Idaho"
Idaho,Donnelly city,152,"Donnelly city, Idaho"
Idaho,Malta city,193,"Malta city, Idaho"
Idaho,Irwin city,219,"Irwin city, Idaho"
Idaho,Firth city,477,"Firth city, Idaho"
Idaho,Post Falls city,27574,"Post Falls city, Idaho"
Idaho,Fruitland city,4684,"Fruitland city, Idaho"
Idaho,Arco city,995,"Arco city, Idaho"
Idaho,St. Anthony city,3542,"St. Anthony city, Idaho"
Idaho,Kimberly city,3264,"Kimberly city, Idaho"
Idaho,Dover city,556,"Dover city, Idaho"
Idaho,Peck city,197,"Peck city, Idaho"
Idaho,Notus city,531,"Notus city, Idaho"
Idaho,Kendrick city,303,"Kendrick city, Idaho"
Idaho,Hamer city,48,"Hamer city, Idaho"
Idaho,Oxford city,48,"Oxford city, Idaho"
Idaho,McCammon city,809,"McCammon city, Idaho"
Idaho,Bliss city,318,"Bliss city, Idaho"
Idaho,Oakley city,763,"Oakley city, Idaho"
Idaho,Atomic City city,29,"Atomic City city, Idaho"
Idaho,Dayton city,463,"Dayton city, Idaho"
Idaho,Placerville city,53,"Placerville city, Idaho"
Idaho,Clayton city,7,"Clayton city, Idaho"
Idaho,Clark Fork city,536,"Clark Fork city, Idaho"
Idaho,Emmett city,6557,"Emmett city, Idaho"
Idaho,State Line city,38,"State Line city, Idaho"
Idaho,Newdale city,323,"Newdale city, Idaho"
Idaho,Caldwell city,46237,"Caldwell city, Idaho"
Idaho,Island Park city,286,"Island Park city, Idaho"
Idaho,Spencer city,37,"Spencer city, Idaho"
Idaho,Driggs city,1660,"Driggs city, Idaho"
Idaho,Chubbuck city,13922,"Chubbuck city, Idaho"
Idaho,Rockland city,295,"Rockland city, Idaho"
Idaho,Juliaetta city,579,"Juliaetta city, Idaho"
Idaho,Roberts city,580,"Roberts city, Idaho"
Idaho,Swan Valley city,204,"Swan Valley city, Idaho"
Idaho,Victor city,1928,"Victor city, Idaho"
Idaho,Warm River city,3,"Warm River city, Idaho"
Idaho,Grand View city,452,"Grand View city, Idaho"
Idaho,Harrison city,203,"Harrison city, Idaho"
Idaho,Moore city,189,"Moore city, Idaho"
Idaho,Melba city,513,"Melba city, Idaho"
Idaho,Ammon city,13816,"Ammon city, Idaho"
Idaho,Paris city,513,"Paris city, Idaho"
Idaho,Lewisville city,458,"Lewisville city, Idaho"
Idaho,Genesee city,955,"Genesee city, Idaho"
Idaho,Georgetown city,476,"Georgetown city, Idaho"
Idaho,Idaho City city,485,"Idaho City city, Idaho"
Idaho,St. Charles city,131,"St. Charles city, Idaho"
Idaho,Priest River city,1751,"Priest River city, Idaho"
Idaho,Hayden Lake city,574,"Hayden Lake city, Idaho"
Idaho,Parker city,305,"Parker city, Idaho"
Idaho,Shelley city,4409,"Shelley city, Idaho"
Idaho,Wendell city,2782,"Wendell city, Idaho"
Idaho,Kamiah city,1295,"Kamiah city, Idaho"
Illinois,Crystal Lake city,40743,"Crystal Lake city, Illinois"
Illinois,Palestine village,1369,"Palestine village, Illinois"
Illinois,Toledo village,1238,"Toledo village, Illinois"
Illinois,St. Francisville city,697,"St. Francisville city, Illinois"
Illinois,La Harpe city,1235,"La Harpe city, Illinois"
Illinois,Mount Prospect village,54167,"Mount Prospect village, Illinois"
Illinois,Markham city,12508,"Markham city, Illinois"
Illinois,Iola village,141,"Iola village, Illinois"
Illinois,Donovan village,304,"Donovan village, Illinois"
Illinois,Plainfield village,39581,"Plainfield village, Illinois"
Illinois,Orient city,358,"Orient city, Illinois"
Illinois,Glasgow village,141,"Glasgow village, Illinois"
Illinois,Sidney village,1233,"Sidney village, Illinois"
Illinois,Fidelity village,114,"Fidelity village, Illinois"
Illinois,Palos Heights city,12515,"Palos Heights city, Illinois"
Illinois,Brussels village,141,"Brussels village, Illinois"
Illinois,West Brooklyn village,142,"West Brooklyn village, Illinois"
Illinois,New Milford village,697,"New Milford village, Illinois"
Illinois,Manlius village,359,"Manlius village, Illinois"
Illinois,Oquawka village,1371,"Oquawka village, Illinois"
Illinois,New Canton town,359,"New Canton town, Illinois"
Illinois,St. Peter village,359,"St. Peter village, Illinois"
Illinois,Genoa city,5193,"Genoa city, Illinois"
Illinois,Ewing village,307,"Ewing village, Illinois"
Illinois,South Barrington village,4565,"South Barrington village, Illinois"
Illinois,Greenview village,778,"Greenview village, Illinois"
Illinois,Herrin city,12501,"Herrin city, Illinois"
Illinois,Oneida city,700,"Oneida city, Illinois"
Illinois,Fairfield city,5154,"Fairfield city, Illinois"
Illinois,Cahokia village,15241,"Cahokia village, Illinois"
Illinois,Woodlawn village,698,"Woodlawn village, Illinois"
Illinois,Carol Stream village,39711,"Carol Stream village, Illinois"
Illinois,Palmyra village,698,"Palmyra village, Illinois"
Illinois,Capron village,1376,"Capron village, Illinois"
Illinois,Pingree Grove village,4532,"Pingree Grove village, Illinois"
Illinois,Shawneetown city,1239,"Shawneetown city, Illinois"
Illinois,Northlake city,12323,"Northlake city, Illinois"
Illinois,Springerton village,110,"Springerton village, Illinois"
Illinois,Bellflower village,357,"Bellflower village, Illinois"
Illinois,Forest View village,698,"Forest View village, Illinois"
Illinois,Ashmore village,785,"Ashmore village, Illinois"
Illinois,Quincy city,40633,"Quincy city, Illinois"
Illinois,Biggsville village,304,"Biggsville village, Illinois"
Illinois,Marietta village,112,"Marietta village, Illinois"
Illinois,Winnetka village,12187,"Winnetka village, Illinois"
Illinois,Effingham city,12328,"Effingham city, Illinois"
Illinois,Lewistown city,2384,"Lewistown city, Illinois"
Illinois,Coalton village,304,"Coalton village, Illinois"
Illinois,Onarga village,1368,"Onarga village, Illinois"
Illinois,Pocahontas village,784,"Pocahontas village, Illinois"
Illinois,Harristown village,1367,"Harristown village, Illinois"
Illinois,Washington city,15134,"Washington city, Illinois"
Illinois,Romeoville village,39680,"Romeoville village, Illinois"
Illinois,Round Lake Heights village,2676,"Round Lake Heights village, Illinois"
Illinois,Compton village,303,"Compton village, Illinois"
Illinois,Streamwood village,39858,"Streamwood village, Illinois"
Illinois,Evansville village,701,"Evansville village, Illinois"
Illinois,Ladd village,1295,"Ladd village, Illinois"
Illinois,Christopher city,2382,"Christopher city, Illinois"
Illinois,New Boston city,683,"New Boston city, Illinois"
Illinois,Trenton city,2715,"Trenton city, Illinois"
Illinois,Des Plaines city,58364,"Des Plaines city, Illinois"
Illinois,Kinmundy city,796,"Kinmundy city, Illinois"
Illinois,Atwood village,1224,"Atwood village, Illinois"
Illinois,Colchester city,1401,"Colchester city, Illinois"
Illinois,Stonefort village,297,"Stonefort village, Illinois"
Illinois,East Brooklyn village,106,"East Brooklyn village, Illinois"
Illinois,Rock Island city,39018,"Rock Island city, Illinois"
Illinois,Coffeen city,685,"Coffeen city, Illinois"
Illinois,Hidalgo village,106,"Hidalgo village, Illinois"
Illinois,Jeffersonville village,367,"Jeffersonville village, Illinois"
Illinois,Hurst city,795,"Hurst city, Illinois"
Illinois,Fayetteville village,366,"Fayetteville village, Illinois"
Illinois,Apple River village,366,"Apple River village, Illinois"
Illinois,Dixon city,15733,"Dixon city, Illinois"
Illinois,Watseka city,5255,"Watseka city, Illinois"
Illinois,West Peoria city,4458,"West Peoria city, Illinois"
Illinois,Schiller Park village,11793,"Schiller Park village, Illinois"
Illinois,Vergennes village,298,"Vergennes village, Illinois"
Illinois,Findlay village,683,"Findlay village, Illinois"
Illinois,Elliott village,295,"Elliott village, Illinois"
Illinois,Sullivan city,4440,"Sullivan city, Illinois"
Illinois,Toluca city,1414,"Toluca city, Illinois"
Illinois,Mason City city,2343,"Mason City city, Illinois"
Illinois,Ludlow village,371,"Ludlow village, Illinois"
Illinois,Avon village,799,"Avon village, Illinois"
Illinois,Centreville city,5309,"Centreville city, Illinois"
Illinois,Bradley village,15895,"Bradley village, Illinois"
Illinois,Forrest village,1220,"Forrest village, Illinois"
Illinois,Broadwell village,145,"Broadwell village, Illinois"
Illinois,Belknap village,104,"Belknap village, Illinois"
Illinois,Stoy village,104,"Stoy village, Illinois"
Illinois,Anna city,4442,"Anna city, Illinois"
Illinois,Alhambra village,681,"Alhambra village, Illinois"
Illinois,South Wilmington village,681,"South Wilmington village, Illinois"
Illinois,Eureka city,5295,"Eureka city, Illinois"
Illinois,Breese city,4442,"Breese city, Illinois"
Illinois,Cerro Gordo village,1403,"Cerro Gordo village, Illinois"
Illinois,Polo city,2355,"Polo city, Illinois"
Illinois,Tilton village,2724,"Tilton village, Illinois"
Illinois,Mount Vernon city,15277,"Mount Vernon city, Illinois"
Illinois,Orangeville village,793,"Orangeville village, Illinois"
Illinois,Bluford village,688,"Bluford village, Illinois"
Illinois,Roberts village,362,"Roberts village, Illinois"
Illinois,Griggsville city,1226,"Griggsville city, Illinois"
Illinois,Malden village,362,"Malden village, Illinois"
Illinois,Beaverville village,362,"Beaverville village, Illinois"
